Country,Domestic General government Health Expenditure (GGHE-D) in Constant (2016) US$ per Capita
Canada,"3,274"
United States of America,"8,078"
Austria,"3,399"
Belgium,"3,490"
Denmark,"4,682"
France,"3,534"
Ireland,"3,429"
Israel,"1,773"
Italy,"2,039"
Luxembourg,"5,093"
Netherlands,"3,840"
Norway,"6,366"
Portugal,"1,195"
Sweden,"4,769"
Switzerland,"6,175"
United Kingdom,"3,175"
Australia,"3,417"
Brunei Darussalam,599
Japan,"3,538"
New Zealand,"2,946"
Republic of Korea,"1,209"
Singapore,"1,343"
India,16
