Id,Scheme/Programme/Institute,2016-17 (BE),2016-17 (Actuals),2017-18 (BE),2017-18 (Actuals),2018-19 (BE),2018-19 (Actuals)
1,Establi shment Expenditure of the Centre,,,,,,
1.01,Secretariat - Social Services,107.62,94.67,126.33,123.05,126.33,123.05
1.02,Direction & Admn.,,,,,,
,Direction & Admn. (Dte. G.H.S),47,45.01,60.16,48.81,60.16,48.81
,Direction & Admn. (Dte.C.G.H.S),2.4,1.46,2.79,1.95,2.79,1.95
,,49.4,46.47,62.95,50.76,62.95,50.76
1.03,Central Government Health Scheme,1035,1000.66,1246.65,1098.57,1246.65,1098.57
1.04,"Safdarjang Hospital, New Delhi",917,900.84,1091.76,1011.3,1091.76,1011.3
,"Vardhman Mahaveer Medical College, New Delhi",12,11.89,13.93,12.96,13.93,12.96
1.05,"Dr. Ram Manohar Lohia Hospital, New Delhi",462,437.51,505.56,481.35,505.56,481.35
,"Dr. RML PGIMER, New Delhi",30,36.62,51.31,50.88,51.31,50.88
1.06,Lady Hardinge Medical College & Smt. Sucheta Kripalani Hospital & New Delhi,296,322.84,406.49,330.2,406.49,330.2
1.07,"Kalawati Saran Children's Hospital, New Delhi",90,82.31,105.48,93,105.48,93
1.08,Other Hospitals/Institutions,,,,,,
,National Medical Library,31.1,24.24,32.49,14.91,32.49,14.91
,Medical Stores Organization,61,54.7,63.82,50.75,63.82,50.75
,"Central Institute of Psychiatry, Ranchi",95,94.72,130.3,74.61,130.3,74.61
,"All India Institute of Physical Medicine and Rehabilitation, Mumbai",24.75,21.13,34.24,20.34,34.24,20.34
,"RAK College of Nursing, New Delhi",10.5,9.81,41.37,39.85,41.37,39.85
,Lady Reading Health School,4.48,2.86,4.04,2.87,4.04,2.87
,Port Health Estt. Including APHO,46.35,28.18,57.04,29.87,57.04,29.87
,"Port Health Office, JN Port, Nhava Sheva",1.65,0.79,1.16,0.86,1.16,0.86
,"National TB Training Institute, Bangalore",11.75,12.79,12.3,12.46,12.3,12.46
,"CLTRI, Chengalpattu",18.15,16.8,18.38,14.87,18.38,14.87
,"RLTRI, Aska",9.86,3.1,10.35,3.83,10.35,3.83
,"RLTRI, Raipur",6.02,5.34,6.88,3.87,6.88,3.87
,"RLTRI, Gauripur",6.22,4.99,6.93,4.32,6.93,4.32
,"N.I.C.D., New Delhi (Main Institution)",56.58,41.23,55.54,44.02,55.54,44.02
,Food Research and Standardisation Lab.,12,0,0.01,0,0.01,0
,Central Drugs Standard Control Org.,184.7,94.68,378.49,100.28,378.49,100.28
,"BCG Vaccine Laboratory, Guindy, Chennai",17.5,14.78,21.07,15.08,21.07,15.08
,"CRI, Kasauli",57.36,40.31,62.52,37.79,62.52,37.79
,"Institute of Serology, Kolkata",6.34,5.42,7.12,5.79,7.12,5.79
,"AIIH & PH, Kolkata",41.1,31.75,40.04,27.49,40.04,27.49
,CCTC Singur,22.9,20.35,26.58,21.93,26.58,21.93
,"Central Health Education Bureau, New Delhi",5,5.23,6.78,4.43,6.78,4.43
,Regional Health Offices,46.7,38.44,53.44,40.24,53.44,40.24
,"F.W. Training and Res. Centre, Bombay",7.22,4.84,26.97,6.11,26.97,6.11
,"Rural Health Training Centre, Najafgarh",17,15.07,19.99,15.37,19.99,15.37
,Strengthening of HIMS,1.7,1.12,1.97,1.47,1.97,1.47
,National Advisory Board for Standards,1.8,0.12,0.3,0.24,0.3,0.24
,Project Feasibility Testing Scheme,0.4,0.15,0.17,0.16,0.17,0.16
,Total - Other Hospital/Institutions,805.13,592.94,1120.29,593.81,1120.29,593.81
,Total - Establishment Expenditure of the Centre,3804.15,3526.75,4730.75,3845.88,4730.75,3845.88
2,Central Sector Schemes/Projects,,,,,,
2.01,Pradhan Mantri Swasthya Suraksha Yojana,2450,1953.16,3975,2439.56,3975,2439.56
2.02,Family Welfare Scheme,,,,,,
,Strengthening National Programme Managment of the NRHM,31,32.99,85,69.12,85,69.12
,Technical Wing at Hq. (Information Technology),3.5,2.45,0,0,0,0
,"Mass Education - IEC (Information, Education and Communication)",186,251.08,314.6,146.22,314.6,146.22
,Training in RCH,10.23,6,6.97,6.04,6.97,6.04
,International Co-operation,5,3.95,5,3.83,5,3.83
,FW Linked Health Insurance Plan,0,0,0.01,0,0.01,0
,Population Research Centres,17,15.69,14.93,11.6,14.93,11.6
,National Drug De-Addiction Control Programme,30,25.35,30,24.5,30,24.5
,Management Information System (MIS),40,11.65,21.42,11.56,21.42,11.56
,Social Marketing Area Projects,,,,,,
,Social Marketing of Contraceptives,91,82.37,119.49,115.64,119.49,115.64
,Free Distribution of Contraceptives,150,139,150,130.59,150,130.59
,Procurement of Supplies and Materials,,,,,,
,NPSF/National Commission on Population,0.7,0.39,0.46,0,0.46,0
,Travel of Experts/Conf./ Meetings etc. (Melas),0.4,0,0.23,0,0.23,0
,Role of Men in Planned Parenthood (Male Participation),0.95,0.6,0.99,0.59,0.99,0.59
,Training in Recanalisation,0.05,0.04,0.6,0.07,0.6,0.07
,FW Programme in Other Ministries,1,0.36,1.16,0.14,1.16,0.14
,Gandhigram Institute,2.75,2.51,2.93,2.45,2.93,2.45
,Assistance to IMA,0.01,0,0.01,0,0.01,0
,Voluntary Organisations,0,0,0,0,0,0
,Central Procurement Agaency,,,,,,
,Expenditure at Headuqrter,,,,,,
,Research and Study activities under RCH,,,,,,
,Technology  in Family welfare,1.5,1,1.16,0,1.16,0
,NGO (PPP),0.01,0,0,0,0,0
,WHO supported National Polio Surveillance Project (NPS),0,0,0,0,0,0
,,571.1,575.43,754.96,522.35,754.96,522.35
2.03,National AIDS and STD Control Programme,1700,1749.16,2000,1723.52,2000,1723.52
2.04,Strengthening of existing branches & establishment of 27 branches of NCDC,5.86,0.27,40.59,0.12,40.59,0.12
2.05,"Strengthening intersectoral coordination of prevention and control of Zoonotic 
diseases",0.75,0.14,0.33,0.07,0.33,0.07
2.06,Viral Hepatitis,2.62,0,0.31,0.16,0.31,0.16
2.07,Anti-Micro Resistance,1.58,0.81,1.16,0.7,1.16,0.7
2.08,National Pharmacovigilance Prog.,6,6,6.97,4.22,6.97,4.22
2.09,Development of Nursing Services,6,1.84,6,4.94,6,4.94
2.1,Health Insurance (CGEIPS),0.01,0,0.01,0,0.01,0
2.11,"Health Sector Disaster Preparedness & Management including EMR (including 
Avian Flu) & Emergency Medical Services",30,11.51,16.85,8.72,16.85,8.72
2.12,National Organ Transplant Programme,15,4.09,9,1.52,9,1.52
2.13,Impacting Research Innovation and Technology (Imprint) Scheme (New),0,0,0.5,0.5,0.5,0.5
2.14,Swatchhta Action Plan (SAP) NEW,0,0,155,155,155,155
