"S. 
No.",Period,Health,"NRHM 
(NHM)","Family 
Welfare",AYUSH,"Health 
Research",NACO 
1,Tenth Plan Actuals,8085.69,,26126,775,,
2,Eleventh Plan Outlay,41092.92,90558,,3988,4496.08,
(a),2007- 08 (BE),2985,10890,,488,,
(b),2007- 08 (Actual),2183.71,10380.4,,383.36,,
(c),2008 - 09 (BE),3650,11930,,534,420,
(d),2008 - 09 (Actual),3008.22,11260.18,,471.13,390.18,
(e),2009 -10 (BE),4450,13930,,734,420,
(f),2009 -10 (Actual),3261.91,13305.76,,678.97,400,
(g),2010 -11 (BE),5560,15440,,800,500,1435
(h),2010 -11 (Actual),4666.06,14696.78,,848.91,503.3,1175.47
(i),2011-12(BE),5720,17840,,900,600,1700
(j),2011 -12 (Actual),4160,16509.45,,611.47,564.5,1313.86
3,Twelfth Plan Outlay,75143.29,1913405.71,,10044,10029,11394
(a),2012 -13 (BE),6585,20542,,990,660,1700
(b),2012 -13 (Actual),4145.43,16762.75,,580.6,460.31,1316.07
(c),2013-14(BE),8166,20999,,1069,726,1785
(d),2013 -14 (Actual),4205.74,18266.92,,553.5,569.62,1473.16
(e),2014 -15 (BE),8733,21912,,1069,726,1785
(f),2014 -15 (Actual),5645.36,18039.26,,463.13,590.65,1287.39
(g),2015 -16 (BE),11324.54,18295,,1008,713.17,1397
(h),2015-16 (Actual),12642.7,18282.38,,888.86,647.82,1605
(i),2016-17 (BE),16524.55,20500,,1050,750,1700
(j),2016-17 (Actual),17074.78,19418.82,,1017.97,930.8,1749.17
(k),2017-18 (BE),17661.81,27690.7,,1428.65,1500,2000
(l),2017-18 (Actual),19604.87,31075.31,,1544.94,1731.68,2009.72
(m),2018-19 (BE),20670.39,32129.61,,1626.37,1800,2100
(n),2018-19 (Actual) Prov.,20009.69,27763.63,,1606.96,1727.87,1803.2
(o),2019-20 (BE),23097.12,38301,,1739.76,1900,2500
