State/UT,Total No. of Households (Excluding institutional households),"Grass, Thatch, Bamboo, Wood, Mud etc.","Plastic,Polythene",Tiles-Total,Tiles-Hand Made,Tiles-Machine Made,Brick,Stone/slate,"G.I., Metal, Asbestos sheets",Concrete,Any other material
Andhra Pradesh,21024534,15.3,0.3,17.8,6.5,11.3,0.3,5.1,11.9,48.8,0.4
Arunanchal Pradesh,261614,46.7,0.5,0.5,0.4,0.1,0.2,0.9,46.2,3.9,1.1
Assam,6367295,18.6,2.1,1.0,0.7,0.3,0.1,0.8,74.2,2.9,0.2
Bihar,18940629,31.1,1.1,19.8,18.8,0.9,7.8,5.6,10.4,23.8,0.4
Chhattisgarh,5622850,7.8,0.6,69.2,68.0,1.2,0.3,1.6,3.6,16.7,0.1
Goa,322813,1.2,0.4,56.1,3.5,52.6,0.7,1.7,6.4,33.2,0.2
Gujarat,12181718,1.5,0.5,31.5,8.9,22.6,0.5,3.1,18.9,43.9,0.1
Haryana,4717954,20.2,0.4,5.7,4.4,1.3,14.6,23.9,2.3,32.5,0.3
Himachal Pradesh,1476581,4.2,0.4,0.4,0.2,0.2,0.9,37.4,12.0,44.7,0.1
Jammu & Kashmir,2015088,25.3,0.5,1.2,0.9,0.2,0.4,0.9,46.6,24.0,1.1
Jharkhand,6181607,11.6,0.3,53.3,49.7,3.7,0.8,1.1,6.6,26.0,0.2
Karnataka,13179911,11.4,0.5,34.8,9.6,25.2,0.5,8.5,16.5,27.6,0.3
Kerala,7716370,2.7,0.7,38.3,3.5,34.8,0.3,0.8,9.0,48.0,0.2
Madhya Pradesh,14967597,9.2,1.1,49.1,41.8,7.3,0.7,12.8,9.9,16.9,0.3
Maharashtra,23830580,6.1,0.6,21.5,7.5,14.1,0.6,2.9,37.3,30.2,0.7
Manipur,554713,16.8,0.2,0.9,0.7,0.2,0.4,1.9,75.3,4.4,0.1
Meghalaya,538299,16.0,1.0,0.7,0.3,0.4,0.4,1.7,69.1,10.3,0.7
Mizoram,221077,17.6,0.5,0.2,0.1,0.1,0.1,1.0,66.8,13.6,0.1
Nagaland,399965,18.9,0.4,0.4,0.2,0.2,0.2,1.5,72.6,5.6,0.3
Odisha,9661085,33.9,0.4,27.8,22.8,5.0,0.2,1.1,12.8,23.5,0.2
Punjab,5409699,7.9,0.3,14.5,12.8,1.7,25.3,1.0,1.5,49.1,0.4
Rajasthan,12581303,13.7,0.4,14.4,12.1,2.3,4.2,50.6,5.0,11.1,0.5
Sikkim,128131,5.7,1.0,0.3,0.2,0.1,0.4,1.1,68.2,23.1,0.1
Tamil Nadu,18493003,15.8,0.1,29.7,9.2,20.5,1.3,1.3,7.9,43.7,0.3
Tripura,842781,11.8,0.5,0.5,0.3,0.2,0.6,0.8,81.4,4.2,0.2
Uttar Pradesh,32924266,23.3,0.4,8.7,8.1,0.6,32.8,13.9,2.9,17.6,0.4
Uttarakhand,1997068,4.4,0.7,0.9,0.7,0.2,21.3,20.9,7.9,43.7,0.2
West Bengal,20067299,13.4,1.2,28.8,20.3,8.6,0.6,1.7,28.4,25.6,0.3
Andaman & Nicobar Island,93376,5.9,0.3,0.2,0.1,0.1,0.0,0.4,81.2,11.3,0.6
Chandigarh,235061,2.4,0.8,0.6,0.4,0.2,1.9,0.8,10.1,83.2,0.2
Dadara & Nagar Havelli,73063,1.1,0.8,35.0,5.5,29.5,0.2,1.2,35.6,26.0,0.0
Daman & Diu,60381,0.4,0.2,10.1,2.2,7.9,0.3,1.9,48.4,38.7,0.0
NCT of Delhi,3340538,1.2,0.8,0.9,0.3,0.6,4.2,23.4,5.6,63.8,0.1
Lakshadweep,10703,1.8,0.1,45.0,0.3,44.7,0.1,0.3,7.7,44.9,0.2
Puducherry,301276,19.4,0.4,9.1,3.1,6.0,0.9,0.8,6.5,62.4,0.5
