State/UT,Total No. of Households (Excluding institutional households),No. of households having bathing facility within premises - Bathroom available,No. of households having bathing facility within premises - Bathing in enclosure without roof,No. of households having bathing facility within premises - No bathroom,Closed drainage,Open drainage,No drainage,Kitchen available,"Cooking inside house, does not have kitchen",Cooking in open,No cooking
Andhra Pradesh,21024534,50.6,16.5,32.9,21.6,35.4,43.1,48.0,23.2,22.2,0.3
Arunanchal Pradesh,261614,29.0,13.6,57.4,6.0,27.1,66.9,85.8,9.5,1.0,0.3
Assam,6367295,24.5,17.3,58.2,3.6,16.8,79.6,70.3,7.8,3.5,0.4
Bihar,18940629,11.3,26.2,62.6,6.7,35.6,57.7,24.0,57.5,8.9,0.2
Chhattisgarh,5622850,14.8,5.4,79.9,5.3,18.9,75.8,54.2,40.7,3.0,0.2
Goa,322813,81.4,8.2,10.4,43.7,25.1,31.2,91.7,4.7,1.7,0.7
Gujarat,12181718,56.5,11.0,32.6,37.3,9.4,53.3,64.4,21.2,6.1,0.4
Haryana,4717954,68.1,14.4,17.5,21.1,65.2,13.7,63.8,27.1,6.2,0.2
Himachal Pradesh,1476581,67.5,7.4,25.2,24.8,40.4,34.8,79.2,8.5,3.0,0.3
Jammu & Kashmir,2015088,52.4,8.0,39.5,12.6,35.3,52.2,78.1,10.3,3.8,0.2
Jharkhand,6181607,16.5,9.0,74.6,7.2,22.3,70.5,37.1,56.9,3.6,0.1
Karnataka,13179911,74.8,11.5,13.7,26.1,34.6,39.3,87.6,7.7,2.6,0.3
Kerala,7716370,81.2,4.6,14.2,25.2,21.2,53.6,94.7,1.5,1.5,0.3
Madhya Pradesh,14967597,25.8,21.4,52.8,9.8,30.1,60.1,45.4,50.4,2.6,0.2
Maharashtra,23830580,64.3,21.1,14.6,33.2,34.2,32.5,69.3,22.3,4.2,0.8
Manipur,554713,31.1,20.9,48.0,4.0,47.9,48.1,85.7,5.7,1.2,0.1
Meghalaya,538299,33.3,6.3,60.4,5.7,29.6,64.7,71.7,7.3,1.8,0.2
Mizoram,221077,65.2,9.9,24.9,13.1,46.5,40.4,83.1,15.5,0.6,0.1
Nagaland,399965,52.4,30.1,17.5,4.8,45.4,49.8,96.0,2.9,0.9,0.2
Odisha,9661085,14.1,5.6,80.3,4.3,15.0,80.7,52.6,28.5,8.3,0.3
Punjab,5409699,71.5,17.5,11.1,27.8,57.0,15.2,70.3,24.5,3.2,0.3
Rajasthan,12581303,36.8,18.7,44.5,10.7,30.8,58.5,46.3,40.0,9.0,0.2
Sikkim,128131,65.1,3.5,31.4,14.6,38.1,47.3,65.7,7.8,1.5,0.6
Tamil Nadu,18493003,49.9,14.2,35.8,25.4,24.9,49.7,67.6,13.7,9.4,0.4
Tripura,842781,18.9,13.2,67.9,3.7,22.9,73.4,77.8,12.8,1.3,0.1
Uttar Pradesh,32924266,29.0,26.1,44.8,12.9,56.1,31.1,37.1,53.8,5.3,0.2
Uttarakhand,1997068,60.5,8.8,30.7,19.0,42.1,38.9,63.9,24.1,5.5,0.3
West Bengal,20067299,27.1,8.7,64.1,9.2,22.4,68.4,54.1,33.2,5.5,0.3
Andaman & Nicobar Island,93376,63.5,12.7,23.8,7.4,44.5,48.1,83.5,3.5,1.1,1.4
Chandigarh,235061,86.6,3.1,10.3,87.2,8.7,4.1,73.2,23.0,2.2,1.1
Dadara & Nagar Havelli,73063,51.7,14.4,33.9,27.0,10.9,62.1,83.3,13.7,1.1,0.8
Daman & Diu,60381,70.7,11.8,17.5,39.0,26.1,34.8,63.1,30.7,1.0,2.4
NCT of Delhi,3340538,87.0,4.0,8.9,59.2,36.6,4.2,67.6,19.5,1.1,0.3
Lakshadweep,10703,96.0,1.1,2.9,11.4,13.0,75.6,78.8,0.8,1.2,2.5
Puducherry,301276,70.0,13.5,16.5,24.3,43.8,31.9,72.7,16.6,5.3,0.6
