State/UT,"Total No. of Households 
(Excluding institutional 
households)","Latrine facility Available within 
premises",Flush/pour flush latrine connected to Piped Sewer System,Flush/pour flush latrine connected to Sewer Tank,Flush/pour flush latrine connected to Other System,Pit Latrine - With slab/ventilated improved pit,Pit Latrine - Without slab/pit,Night soil disposed into open drain,Service Latrine - Night soil removed by human,Service Latrine - Night soil serviced by animal,Latrine facility Not Available within premises,No latrine within premises- Public Latrine as Alternate Source,No latrine within premises- Open
Andhra Pradesh,21024534,49.6,12.4,29.6,1.0,4.9,0.5,0.8,0.0,0.3,50.4,2.5,48.0
Arunanchal Pradesh,261614,62.0,6.0,22.4,10.0,4.4,14.4,0.7,0.4,3.7,38.0,3.2,34.8
Assam,6367295,64.9,5.2,14.9,8.4,10.5,24.2,0.9,0.3,0.6,35.1,1.9,33.2
Bihar,18940629,23.1,1.8,16.0,2.3,1.7,0.8,0.2,0.1,0.2,76.9,1.1,75.8
Chhattisgarh,5622850,24.6,2.5,16.6,1.9,2.1,1.3,0.1,0.0,0.1,75.4,1.4,74.0
Goa,322813,79.7,14.4,56.4,3.2,3.7,0.7,0.2,0.0,1.0,20.3,3.9,16.4
Gujarat,12181718,57.3,29.0,22.8,0.8,4.2,0.3,0.2,0.0,0.0,42.7,2.2,40.4
Haryana,4717954,68.6,21.9,25.4,3.1,14.5,2.9,0.7,0.0,0.1,31.4,1.5,29.8
Himachal Pradesh,1476581,69.1,7.4,51.6,1.7,7.1,1.0,0.2,0.0,0.0,30.9,1.2,29.7
Jammu & Kashmir,2015088,51.2,10.0,17.7,5.3,3.3,2.2,3.2,8.9,0.7,48.8,2.7,46.1
Jharkhand,6181607,22.0,3.7,15.7,1.0,1.1,0.3,0.2,0.0,0.1,78.0,1.0,77.0
Karnataka,13179911,51.2,22.7,13.0,1.2,13.2,0.3,0.5,0.1,0.2,48.8,3.8,45.0
Kerala,7716370,95.2,12.0,50.3,4.4,27.6,0.7,0.2,0.0,0.0,4.8,1.0,3.8
Madhya Pradesh,14967597,28.8,5.8,19.1,1.3,1.6,0.7,0.3,0.0,0.1,71.2,1.2,70.0
Maharashtra,23830580,53.1,18.4,23.5,1.6,8.3,0.5,0.6,0.0,0.2,46.9,12.9,34.0
Manipur,554713,87.0,5.9,23.6,15.2,15.5,19.3,5.0,2.0,0.6,13.0,2.2,10.7
Meghalaya,538299,62.9,5.8,23.7,8.6,6.9,16.3,0.3,0.4,0.8,37.1,2.8,34.3
Mizoram,221077,91.9,5.7,48.4,6.7,15.1,15.5,0.3,0.1,0.3,8.1,1.5,6.6
Nagaland,399965,76.5,3.3,34.4,10.0,11.2,16.4,0.3,0.2,0.6,23.5,6.9,16.5
Odisha,9661085,22.0,2.5,13.6,1.6,2.1,1.4,0.3,0.3,0.3,78.0,1.4,76.6
Punjab,5409699,79.3,28.3,27.7,3.3,16.0,3.2,0.5,0.1,0.2,20.7,1.2,19.5
Rajasthan,12581303,35.0,7.2,18.6,1.9,4.0,2.5,0.7,0.0,0.1,65.0,0.7,64.3
Sikkim,128131,87.2,11.8,59.8,3.4,6.5,5.4,0.1,0.0,0.1,12.8,1.5,11.3
Tamil Nadu,18493003,48.3,14.4,25.7,1.1,5.7,0.3,0.8,0.1,0.1,51.7,6.0,45.7
Tripura,842781,86.0,3.5,14.2,7.1,44.8,15.4,0.5,0.1,0.4,14.0,2.5,11.5
Uttar Pradesh,32924266,35.6,8.1,19.9,1.8,3.4,0.7,0.5,1.0,0.2,64.4,1.3,63.0
Uttarakhand,1997068,65.8,11.8,40.0,1.4,11.3,0.6,0.3,0.2,0.1,34.2,1.1,33.1
West Bengal,20067299,58.8,5.5,20.7,5.6,22.3,3.2,0.4,0.6,0.4,41.2,2.5,38.6
Andaman & Nicobar Island,93376,70.1,2.6,62.5,1.9,0.5,2.4,0.2,0.0,0.1,29.9,2.4,27.5
Chandigarh,235061,87.6,85.9,1.0,0.2,0.4,0.1,0.1,0.0,0.0,12.4,9.1,3.2
Dadara & Nagar Havelli,73063,54.7,4.9,48.2,0.6,0.6,0.1,0.1,0.2,0.0,45.3,5.3,40.0
Daman & Diu,60381,78.2,5.3,71.5,0.4,0.8,0.2,0.0,0.0,0.0,21.8,11.3,10.5
NCT of Delhi,3340538,89.5,59.3,25.5,0.9,1.6,0.2,2.0,0.0,0.0,10.5,7.2,3.3
Lakshadweep,10703,97.8,2.4,94.6,0.4,0.4,0.0,0.0,0.0,0.0,2.2,0.4,1.8
Puducherry,301276,68.4,14.0,53.1,0.3,0.7,0.1,0.2,0.0,0.0,31.6,4.4,27.1
