State/UT,Total - Total,Total - Good,Total - Livable,Total - Dilapidated,Residence - Total,Residence - Good,Residence - Livable,Residence - Dilapidated,Residene-cum-Other-use - Total,Residene-cum-Other-use- Good,Residene-cum-Other-use - Livable,Residene-cum-Other-use - Dilapidated
Andhra Pradesh,2421268,1815718,561238,44312,2368766,1778437,546701,43628,52502,37281,14537,684
Arunanchal Pradesh,4005,1606,2133,266,3818,1523,2031,264,187,83,102,2
Assam,48122,21514,21539,5069,46997,20924,21046,5027,1125,590,493,42
Bihar,194065,81086,93903,19076,187138,77916,90570,18652,6927,3170,3333,424
Chhattisgarh,395297,226921,155787,12589,380830,217089,151343,12398,14467,9832,4444,191
Goa,4846,2658,2045,143,4738,2614,1983,141,108,44,62,2
Gujarat,360291,173298,177710,9283,354195,170131,174871,9193,6096,3167,2839,90
Haryana,325997,161479,148220,16298,311502,154346,141336,15820,14495,7133,6884,478
Himachal Pradesh,14240,10398,3548,294,13925,10192,3463,270,315,206,85,24
Jammu & Kashmir,96990,63123,30001,3866,95444,62217,29446,3781,1546,906,555,85
Jharkhand,79200,39610,34760,4830,77061,38365,33968,4728,2139,1245,792,102
Karnataka,728277,417630,280290,30357,716898,411799,275171,29928,11379,5831,5119,429
Kerala,54849,34572,17186,3091,54493,34384,17036,3073,356,188,150,18
Madhya Pradesh,1086692,628553,417394,40745,1040814,599782,401272,39760,45878,28771,16122,985
Maharashtra,2449530,1417210,960874,71446,2386746,1384055,933101,69590,62784,33155,27773,1856
Meghalaya,10936,6681,3794,461,10675,6537,3679,459,261,144,115,2
Mizoram,16240,13027,3115,98,16036,12869,3072,95,204,158,43,3
Nagaland,15268,9156,5837,275,14938,8972,5692,274,330,184,145,1
Odisha,350306,133298,189233,27775,343260,130421,185406,27433,7046,2877,3827,342
Punjab,296482,126413,142978,27091,285334,120911,137835,26588,11148,5502,5143,503
Rajasthan,383134,216595,154664,11875,371513,209603,150249,11661,11621,6992,4415,214
Sikkim,8612,6655,1770,187,8135,6308,1650,177,477,347,120,10
Tamil Nadu,1451690,1004412,422382,24896,1429149,990760,413800,24589,22541,13652,8582,307
Tripura,33830,18221,13678,1931,33308,18042,13399,1867,522,179,279,64
Uttar Pradesh,992728,490992,452055,49681,938387,464138,426057,48192,54341,26854,25998,1489
Uttarakhand,89398,56156,29008,4234,85257,53546,27610,4101,4141,2610,1398,133
West Bengal,1393319,704920,587183,101216,1353574,686678,568063,98833,39745,18242,19120,2383
Andaman & Nicobar Island,3053,2126,900,27,3005,2095,884,26,48,31,16,1
Chandigarh,22080,1313,15930,4837,21696,1297,15608,4791,384,16,322,46
NCT of Delhi,383609,121593,224464,37552,370030,117318,216102,36610,13579,4275,8362,942
Puducherry,35070,24730,9550,790,34542,24401,9363,778,528,329,187,12
