State/UT,District Name,Number of Habitations
Andhra Pradesh,Anantapur,116
,Sri Potti Sriramulu Nellore,115
,Prakasam,46
,Kurnool,12
,Guntur,11
,Krishna,2
,Srikakulam,12
,Visakhapatnam,16
,Chittoor,15
Assam,Dhubri,93
,Kamrup,2
,Udalgiri,129
,Karimganj,15
,Nalbari,22
,Karbi Anglong,6
,Nagaon,1
Bihar,Banka,363
,Munger,55
,Nalanda,21
,Sheikhpura,115
,Aurangabad,29
,Rohtas,127
,Araria,3
,Gaya,9
,Jamui,50
,Kaimur (Bhabua),16
,Nawada,17
Chhattisgarh,Surguja,3
,Korba,187
,Koriya,15
,Kondagaon,3
,Mahasamund,39
,Uttar Bastar Kanker,15
,Bijapur,3
,Janjgir-Champa,3
,Surajpur,3
,Raipur,14
Haryana,Sirsa,4
,Mahendragarh,20
,Gurgaon,9
,Jind,30
,Kaithal,7
,Palwal,13
,Sonipat,1
,Panipat,1
,Rewari,19
J&K,Kupwara,4
Jharkhand,Simdega,11
,Dumka,2
,Jamtara,24
,Palamu,1
,Chatra,21
,Dhanbad,14
,Hazaribagh,63
,Koderma,7
,Pakur,54
,Sahibganj,12
Karnataka,Chikkaballapura,216
,Tumkur,1
,Kolar,37
,Chitradurga,42
,Davanagere,9
,Ramanagara,11
,Raichur,322
,Bijapur,33
,Bellary,16
,Mandya,44
,Yadgir,3
,Bagalkot,5
,Gulbarga,5
,Gadag,29
,Koppal,4
,Chikmagalur,1
,Belgaum,1
Kerala,Idukki,1
,Palakkad,31
Madhya Pradesh,Dhar,69
,Ratlam,41
,Seoni,3
,Mandla,29
,Dindori,1
Maharashtra,Chandrapur,24
,Nanded,7
,Buldana,3
,Beed,4
,Nagpur,12
,Gadchiroli,5
,Parbhani,4
,Jalgaon,1
,Wardha,4
,Nashik,1
Odisha,Nuapada,12
,Nayagarh,15
,Balangir,26
,Cuttack,2
,Kalahandi,2
,Jajpur,6
,Baudh,31
,Bargarh,6
Punjab,Patiala,190
,Sangrur,17
,Fatehgarh Sahib,25
,Fazilka,17
,Sas nagar,9
,Firozpur,7
,Mansa,2
,Tarn Taran,5
,Barnala,3
,Amritsar,2
,Bathinda,2
,Gurdaspur,3
,Hoshiarpur,4
,Kapurthala,2
,Pathankot,2
,Ludhiana,5
,Faridkot,1
,Rupnagar,4
,Moga,1
Rajasthan,Jodhpur,598
,Nagaur,939
,Barmer,625
,Jalor,517
,Tonk,214
,Jaipur,159
,Jaisalmer,346
,Alwar,170
,Dungarpur,148
,Rajsamand,231
,Churu,94
,Pali,176
,Karauli,125
,Jhunjhunun,49
,Banswara,145
,Ajmer,57
,Sikar,104
,Chittaurgarh,147
,Bhilwara,116
,Sirohi,115
,Sawai Madhopur,38
,Kota,48
,Dausa,153
,Bikaner,8
,Bundi,69
,Ganganagar,3
,Bharatpur,4
,Udaipur,23
,Baran,2
,Hanumangarh,2
,Jhalawar,12
,Pratapgarh,37
Uttar Pradesh,Allahabad,5
,Agra,10
,Ambedkernagar,7
,Azamgarh,5
,Baghpat,3
,Ballia,2
,Basti,2
,Bulandshahr,6
,Chitrakoot,2
,Deoria,1
,Ghaziabad,4
,Mau,5
,Pilibhit,2
,Siddharthnagar,4
,Sultanpur,1
,Varanasi,10
,Ghazipur,30
,Gorakhpur,1
,Hapur,5
,Jhansi,3
,Kanpur Dehat,5
,Kheri,4
,Rae Bareli,1
,Sonbhadra,61
West Bengal,Bankura,73
,Birbhum,208
,Dakshin Dinajpur,672
,Maldah,36
,Purulia,285
,Uttat Dinajpur,12
Total,,10379
