State/UT,Person-Total,Person-Rural,Person-Urban,Males-Total,Males-Rural,Males-Urban,Females-Total,Females-Rural,Females-Urban
Andhra Pradesh,67.0,60.4,80.1,74.9,69.4,85.8,59.1,51.5,74.4
Arunanchal Pradesh,65.4,59.9,82.9,72.6,67.4,88.4,57.7,52.0,76.7
Assam,72.2,69.3,88.5,77.8,75.4,91.8,66.3,63.0,84.9
Bihar,61.8,59.8,76.9,71.2,69.7,82.6,51.5,49.0,70.5
Chhattisgarh,70.3,66.0,84.0,80.3,77.0,90.6,60.2,55.1,77.2
Goa,88.7,86.6,90.0,92.6,91.7,93.2,84.7,81.6,86.6
Gujarat,78.0,71.7,86.3,85.8,81.6,91.0,69.7,61.4,81.0
Haryana,75.6,71.4,83.1,84.1,81.6,88.6,65.9,60.0,76.9
Himachal Pradesh,82.8,81.9,91.1,89.5,89.1,93.4,75.9,74.6,88.4
Jammu & Kashmir,67.2,63.2,77.1,76.8,73.8,83.9,56.4,51.6,69.0
Jharkhand,66.4,61.1,82.3,76.8,72.9,88.4,55.4,48.9,75.5
Karnataka,75.4,68.7,85.8,82.5,77.6,90.0,68.1,59.7,81.4
Kerala,94.0,93.0,95.1,96.1,95.4,97.0,92.1,90.8,93.4
Madhya Pradesh,69.3,63.9,82.8,78.7,74.7,88.7,59.2,52.4,76.5
Maharashtra,82.3,77.0,88.7,88.4,85.1,92.1,75.9,68.5,84.9
Manipur,76.9,73.4,85.4,83.6,80.3,91.7,70.3,66.3,79.3
Meghalaya,74.4,69.9,90.8,76.0,71.5,92.5,72.9,68.4,89.1
Mizoram,91.3,84.1,97.6,93.3,88.2,98.0,89.3,79.8,97.3
Nagaland,79.6,75.3,89.6,82.8,79.0,91.6,76.1,71.5,87.4
Odisha,72.9,70.2,85.7,81.6,79.6,90.7,64.0,60.7,80.4
Punjab,75.8,71.4,83.2,80.4,76.6,86.7,70.7,65.7,79.2
Rajasthan,66.1,61.4,79.7,79.2,76.2,87.9,52.1,45.8,70.7
Sikkim,81.4,78.9,88.7,86.6,84.6,92.4,75.6,72.4,84.7
Tamil Nadu,80.1,73.5,87.0,86.8,82.0,91.8,73.4,65.0,82.3
Tripura,87.2,84.9,93.5,91.5,90.1,95.5,82.7,79.5,91.4
Uttar Pradesh,67.7,65.5,75.1,77.3,76.3,80.4,57.2,53.7,69.2
Uttarakhand,78.8,76.3,84.5,87.4,86.6,89.1,70.0,66.2,79.3
West Bengal,76.3,72.1,84.8,81.7,78.4,88.4,70.5,65.5,81.0
Andaman & Nicobar Island,86.6,84.5,90.1,90.3,88.5,93.1,82.4,79.9,86.6
Chandigarh,70.3,66.0,84.0,90.0,85.8,90.1,81.2,73.2,81.4
Dadara & Nagar Havelli,76.2,64.1,89.8,85.2,76.4,94.0,64.3,49.6,83.4
Daman & Diu,87.1,81.4,89.0,91.5,89.4,92.1,79.5,71.9,82.9
NCT of Delhi,86.2,81.9,86.3,90.9,89.4,91.0,80.8,73.1,80.9
Lakshadweep,91.8,91.6,91.9,95.6,94.5,95.8,87.9,88.5,87.8
Puducherry,85.8,80.1,88.5,91.3,87.4,93.0,80.7,73.0,84.2
