State/UT,Total Habitations,No. of Habitations With Population Coverage >=0 % and < 100%,No. of Habitations with 100% Population Coverage
Andhra Pradesh,48363,14482,33472
Arunanchal Pradesh,7525,4324,3173
Assam,88047,23486,54589
Bihar,110218,35731,70540
Chhattisgarh,74619,1142,72961
Goa,347,2,345
Gujarat,35996,0,35996
Haryana,7517,116,7297
Himachal Pradesh,53269,10283,42986
Jammu & Kashmir,15778,6522,9243
Jharkhand,119832,270,119022
Karnataka,59774,36791,22168
Kerala,21520,15227,5966
Madhya Pradesh,127448,0,127295
Maharashtra,99533,10012,89322
Manipur,2962,830,2132
Meghalaya,9980,6010,3963
Mizoram,718,254,464
Nagaland,1450,739,707
Odisha,157013,8305,146196
Punjab,15038,1374,10483
Rajasthan,121526,45187,57442
Sikkim,2076,1340,736
Tamil Nadu,100014,4411,95434
Tripura,8723,1367,4916
Uttar Pradesh,260018,2189,256450
Uttarakhand,39311,16843,22453
West Bengal,105669,33656,54979
Andaman & Nicobar Island,400,76,324
Telangana,24359,9484,14515
Puducherry,266,113,153
