State/UT,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
Andhra Pradesh,69000,74687,82870,93699,108163,122376
Arunanchal Pradesh,73068,81353,91809,110793,122466,NA
Assam,41142,44599,49734,52895,60526,NA
Bihar,21750,24487,26948,28671,31454,35590
Chhattisgarh,55177,60849,69839,78001,84767,91772
Goa,259444,234354,215776,289185,327059,NA
Gujarat,87481,102826,113139,127017,141504,NA
Haryana,106085,121269,138300,148485,162034,180174
Himachal Pradesh,87721,99730,114095,123532,134376,146073
Jammu & Kashmir,53173,56834,61108,61185,74653,NA
Jharkhand,41254,47360,50006,57301,59628,64823
Karnataka,90263,102319,118829,129823,142906,157474
Kerala,97912,110314,123388,135537,147190,NA
Madhya Pradesh,38550,44931,51897,56182,62334,72599
Maharashtra,99173,111542,124724,132341,147399,NA
Manipur,39762,41246,47852,53187,55603,NA
Meghalaya,60013,64036,65118,64638,70693,NA
Mizoram,57654,65013,77581,103049,114524,NA
Nagaland,53010,61225,71510,78367,83621,NA
Odisha,47632,53900,59468,64869,68293,75223
Punjab,85577,94318,103831,108897,119261,128821
Rajasthan,57391,63775,69018,75201,82325,NA
Sikkim,158667,174183,194624,214148,233954,257182
Tamil Nadu,92984,105031,116329,128385,137837,153263
Telangana,91121,101007,112162,124058,137955,155612
Tripura,47079,52434,61570,71666,NA,NA
Uttar Pradesh,32002,35812,40124,42267,46299,51920
Uttarakhand,100305,113610,126247,135881,146826,160795
West Bengal,,,,,,
Andaman & Nicobar Island,88183,96032,106413,119312,124361,NA
Chandigarh,159116,183039,205492,211313,229976,NA
NCT of Delhi,185343,206503,229518,249004,273618,303073
Puducherry,119649,130548,148147,146921,157871,173687
