State/UT,Public Sector (Lakhs employees),Private Sector (Lakhs employees),Total (Lakhs employees)
Andhra Pradesh,12.76,7.52,20.28
Assam,5.38,5.82,11.20
Bihar,3.94,0.33,4.26
Chhattisgarh,2.56,0.37,2.93
Goa,0.83,0.63,1.46
Gujarat,7.96,14.08,22.04
Haryana,3.74,3.76,7.50
Himachal Pradesh,2.67,1.26,3.93
Jammu & Kashmir,2.00,0.11,2.10
Jharkhand,12.68,3.10,15.78
Karnataka,10.62,12.33,22.95
Kerala,5.77,5.12,10.89
Madhya Pradesh,8.47,1.48,9.94
Maharashtra,21.30,28.23,49.52
Manipur,0.76,0.03,0.79
Meghalaya,0.56,0.07,0.63
Mizoram,0.12,0.01,0.13
Nagaland,0.74,0.05,0.78
Odisha,5.90,1.02,7.10
Punjab,4.88,3.38,8.26
Rajasthan,9.45,3.45,12.90
Tamil Nadu,14.33,9.04,23.37
Tripura,1.45,0.06,1.50
Uttar Pradesh,16.27,5.80,22.07
Uttarakhand,2.14,1.07,3.22
West Bengal,11.59,7.64,19.22
Andaman & Nicobar Island,0.36,0.02,0.38
Chandigarh,0.59,0.53,1.12
Daman & Diu,0.01,0.14,0.15
NCT of Delhi,5.96,2.82,8.78
Puducherry,0.31,0.27,0.58
