State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,593519,39,599954,33,1193473,72
Arunanchal Pradesh,12679,1,10293,0,22972,1
Assam,135233,265,99345,174,234578,439
Bihar,145342,5,129450,4,274792,9
Chhattisgarh,72573,14,67236,6,139809,20
Goa,12633,0,10913,0,23546,0
Gujarat,373731,0,355401,0,729132,0
Haryana,113479,37,105936,18,219415,55
Himachal Pradesh,141966,9,158217,5,300183,14
Jammu,157164,1,147009,1,304173,2
Kashmir,99892,0,84941,0,184833,0
Jharkhand,45679,4,36955,4,82634,8
Karnataka,467354,2,455682,2,923036,4
Kerala,267986,1,282673,2,550659,3
Madhya Pradesh,276569,21,241725,13,518294,34
Maharashtra,308355,14,273957,23,582312,37
Manipur,14053,10,15006,5,29059,15
Meghalaya,55732,3,67336,3,123068,6
Mizoram,7207,2,7471,2,14678,4
Nagaland,7166,0,7220,0,14386,0
Odisha,332608,38,267987,37,600595,75
Punjab,85211,30,86250,13,171461,43
Rajasthan,539485,0,396925,1,936410,1
Sikkim,20189,4,21260,1,41449,5
Tamil Nadu,190621,2,182084,6,372705,8
Telangana,235496,0,252598,1,488094,1
Tripura,39833,2,39728,5,79561,7
Uttarakhand,46059,4,44302,1,90361,5
Uttar Pradesh,738981,115,569102,114,1308083,229
West Bengal,1147888,95,1103264,72,2251152,167
Andaman & Nicobar Island,6827,0,5833,0,12660,0
Chandigarh,31439,21,24954,26,56393,47
Dadara & Nagar Havelli,26043,3,24533,1,50576,4
Daman & Diu,7901,0,5931,0,13832,0
NCT of Delhi,82385,76,73776,51,156161,127
Lakshadweep,3492,0,2716,0,6208,0
Puducherry,48363,8,45679,0,94042,8
