State/UT,2014 Cases,2014 Deaths,2015 Cases,2015 Deaths,2016 Cases,2016 Deaths,2017 Cases,2017 Deaths,2018 Cases (Provisional),2018 Deaths (Provisional)
Andhra Pradesh,31,0,50,0,4,0,37,0,16,0
Arunanchal Pradesh,102,11,73,2,1,0,5,0,0,0
Assam,2194,360,1409,260,1713,187,2077,178,1492,183
Bihar,1358,355,285,90,324,102,189,54,118,34
Chhattisgarh,0,0,0,0,0,0,0,0,0,0
Goa,17,0,0,0,12,0,1,0,18,0
Gujarat,0,0,0,0,0,0,0,0,0,0
Haryana,6,1,2,0,2,0,4,1,0,0
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0
Jharkhand,288,2,217,8,296,5,272,1,544,0
Karnataka,75,0,335,1,406,0,332,2,380,5
Kerala,6,2,29,3,18,5,7,4,26,14
Madhya Pradesh,0,0,0,0,0,0,0,0,0,0
Maharashtra,0,0,51,0,70,1,143,0,48,1
Manipur,16,0,34,0,475,1,1125,10,283,3
Meghalaya,212,3,174,8,164,4,160,4,243,6
Mizoram,0,0,0,0,0,0,0,0,0,0
Nagaland,20,1,10,1,0,0,36,2,27,0
Odisha,0,0,660,2,1096,115,1228,15,1720,10
Punjab,2,0,1,0,1,0,1,1,0,0
Rajasthan,0,0,0,0,0,0,0,0,0,0
Sikkim,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,346,4,847,0,859,3,1358,2,1287,5
Telangana,155,5,157,1,72,0,136,0,27,0
Tripura,323,0,459,4,380,1,323,0,311,0
Uttarakhand,2,0,2,0,0,0,0,0,0,0
Uttar Pradesh,3329,627,2894,479,3919,621,4724,654,3080,230
West Bengal,2385,348,2165,351,1839,256,1514,169,1762,146
Andaman & Nicobar Island,0,0,0,0,0,0,0,0,0,0
Chandigarh,0,0,0,0,0,0,0,0,0,0
Dadara & Nagar Havelli,0,0,0,0,0,0,0,0,0,0
Daman & Diu,0,0,0,0,0,0,0,0,0,0
NCT of Delhi,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0,0,0,0,0
