State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,794,3,690,3,1484,6
Arunanchal Pradesh,215,0,185,0,400,0
Assam,133,0,60,0,193,0
Bihar,793,0,702,0,1495,0
Chhattisgarh,199,0,139,1,338,1
Goa,312,2,210,0,522,2
Gujarat,1664,0,1431,0,3095,0
Haryana,477,0,297,0,774,0
Himachal Pradesh,1225,1,1089,0,2314,1
Jammu,84,0,60,0,144,0
Kashmir,1163,0,1164,0,2327,0
Jharkhand,450,0,362,0,812,0
Karnataka,1346,0,1057,0,2403,0
Kerala,16138,4,14803,3,30941,7
Madhya Pradesh,538,1,382,1,920,2
Maharashtra,4849,2,2572,2,7421,4
Manipur,556,0,523,0,1079,0
Meghalaya,380,1,406,1,786,2
Mizoram,281,0,283,0,564,0
Nagaland,180,0,127,0,307,0
Odisha,830,1,475,0,1305,1
Punjab,69,0,51,0,120,0
Rajasthan,1265,0,839,0,2104,0
Sikkim,142,0,129,0,271,0
Tamil Nadu,513,1,503,0,1016,1
Telangana,53,0,149,0,202,0
Tripura,277,2,216,1,493,3
Uttarakhand,416,0,351,0,767,0
Uttar Pradesh,805,0,496,0,1301,0
West Bengal,4068,41,3142,18,7210,59
Andaman & Nicobar Island,193,0,189,0,382,0
Chandigarh,209,1,160,2,369,3
Dadara & Nagar Havelli,265,1,191,0,456,1
Daman & Diu,67,0,34,0,101,0
NCT of Delhi,258,3,134,2,392,5
Lakshadweep,68,0,72,0,140,0
Puducherry,191,0,149,1,340,1
