State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,456,0,356,0,812,0
Arunanchal Pradesh,168,0,141,0,309,0
Assam,478,0,277,0,755,0
Bihar,377,1,334,0,711,1
Chhattisgarh,118,0,96,0,214,0
Goa,210,0,133,0,343,0
Gujarat,1005,0,849,0,1854,0
Haryana,390,0,246,0,636,0
Himachal Pradesh,789,0,793,0,1582,0
Jammu,19,0,13,0,32,0
Kashmir,1325,0,1237,0,2562,0
Jharkhand,112,0,103,0,215,0
Karnataka,670,0,539,0,1209,0
Kerala,17907,8,16878,2,34785,10
Madhya Pradesh,392,1,267,0,659,1
Maharashtra,2613,1,1348,1,3961,2
Manipur,328,0,269,0,597,0
Meghalaya,176,0,184,0,360,0
Mizoram,229,0,233,0,462,0
Nagaland,130,0,99,0,229,0
Odisha,789,1,457,0,1246,1
Punjab,46,0,41,0,87,0
Rajasthan,587,0,370,0,957,0
Sikkim,140,0,118,0,258,0
Tamil Nadu,1316,0,1105,0,2421,0
Telangana,2,0,4,0,6,0
Tripura,218,1,150,0,368,1
Uttarakhand,327,0,308,0,635,0
Uttar Pradesh,447,1,295,0,742,1
West Bengal,3599,24,2527,7,6126,31
Andaman & Nicobar Island,138,0,80,0,218,0
Chandigarh,273,1,206,0,479,1
Dadara & Nagar Havelli,107,0,60,0,167,0
Daman & Diu,80,0,76,0,156,0
NCT of Delhi,182,1,114,0,296,1
Lakshadweep,69,0,80,0,149,0
Puducherry,210,0,155,0,365,0
