State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,0,0,0,0,0,0
Arunanchal Pradesh,0,0,0,0,0,0
Assam,0,0,0,0,0,0
Bihar,0,0,0,0,0,0
Chhattisgarh,0,0,0,0,0,0
Goa,7,0,0,0,7,0
Gujarat,56,0,29,0,85,0
Haryana,1,0,1,0,2,0
Himachal Pradesh,0,0,0,0,0,0
Jammu,0,0,0,0,0,0
Kashmir,0,0,0,0,0,0
Jharkhand,0,0,0,0,0,0
Karnataka,11,0,4,0,15,0
Kerala,7,1,1,0,8,1
Madhya Pradesh,0,0,0,0,0,0
Maharashtra,59,0,44,0,103,0
Manipur,0,0,0,0,0,0
Meghalaya,0,0,0,0,0,0
Mizoram,0,0,0,0,0,0
Nagaland,0,0,0,0,0,0
Odisha,0,0,0,0,0,0
Punjab,0,0,0,0,0,0
Rajasthan,7,0,10,0,17,0
Sikkim,0,0,0,0,0,0
Tamil Nadu,3,0,2,0,5,0
Telangana,4,0,4,0,8,0
Tripura,0,0,0,0,0,0
Uttarakhand,0,0,0,0,0,0
Uttar Pradesh,1,0,0,0,1,0
West Bengal,56,0,56,0,112,0
Andaman & Nicobar Island,0,0,0,0,0,0
Chandigarh,6,0,2,0,8,0
Dadara & Nagar Havelli,0,0,0,0,0,0
Daman & Diu,0,0,0,0,0,0
NCT of Delhi,84,1,53,1,137,2
Lakshadweep,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0
