State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,0,0,0,0,0,0
Arunanchal Pradesh,0,0,0,0,0,0
Assam,0,0,0,0,0,0
Bihar,0,0,0,0,0,0
Chhattisgarh,0,0,0,0,0,0
Goa,0,0,0,0,0,0
Gujarat,39,0,67,0,106,0
Haryana,9,0,12,2,21,2
Himachal Pradesh,0,0,0,0,0,0
Jammu,0,0,0,0,0,0
Kashmir,1,0,0,0,1,0
Jharkhand,0,0,0,0,0,0
Karnataka,6,0,6,0,12,0
Kerala,3,0,0,0,3,0
Madhya Pradesh,18,0,8,0,26,0
Maharashtra,25,4,15,0,40,4
Manipur,0,0,0,0,0,0
Meghalaya,2,0,13,0,15,0
Mizoram,0,0,0,0,0,0
Nagaland,0,0,0,0,0,0
Odisha,3,0,0,0,3,0
Punjab,0,0,0,0,0,0
Rajasthan,0,0,0,0,0,0
Sikkim,0,0,0,0,0,0
Tamil Nadu,0,0,0,0,0,0
Telangana,0,0,0,0,0,0
Tripura,0,0,0,0,0,0
Uttarakhand,0,0,0,0,0,0
Uttar Pradesh,88,0,65,0,153,0
West Bengal,85,0,41,0,126,0
Andaman & Nicobar Island,0,0,0,0,0,0
Chandigarh,4,0,5,0,9,0
Dadara & Nagar Havelli,1,0,1,0,2,0
Daman & Diu,0,0,0,0,0,0
NCT of Delhi,75,0,59,0,134,0
Lakshadweep,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0
