State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,4,1,2,1,6,2
Arunanchal Pradesh,0,0,0,0,0,0
Assam,1819,0,1343,0,3162,0
Bihar,25,3,14,1,39,4
Chhattisgarh,1,1,0,0,1,1
Goa,0,0,0,0,0,0
Gujarat,17,0,11,0,28,0
Haryana,8,0,2,0,10,0
Himachal Pradesh,0,0,0,0,0,0
Jammu,0,0,0,0,0,0
Kashmir,0,0,0,0,0,0
Jharkhand,15,0,5,0,20,0
Karnataka,105,2,63,0,168,2
Kerala,75,3,51,1,126,4
Madhya Pradesh,25,1,18,0,43,1
Maharashtra,80,0,61,1,141,1
Manipur,0,0,0,0,0,0
Meghalaya,0,0,5,3,5,3
Mizoram,0,0,0,0,0,0
Nagaland,0,0,0,0,0,0
Odisha,0,0,0,0,0,0
Punjab,0,0,0,0,0,0
Rajasthan,254,5,181,1,435,6
Sikkim,0,0,0,0,0,0
Tamil Nadu,0,0,0,0,0,0
Telangana,8,0,9,0,17,0
Tripura,3,0,3,0,6,0
Uttarakhand,0,0,0,0,0,0
Uttar Pradesh,14,0,8,0,22,0
West Bengal,257,1,354,5,611,6
Andaman & Nicobar Island,0,0,0,0,0,0
Chandigarh,13,3,7,3,20,6
Dadara & Nagar Havelli,0,0,0,0,0,0
Daman & Diu,0,0,0,0,0,0
NCT of Delhi,308,60,252,53,560,113
Lakshadweep,0,0,0,0,0,0
Puducherry,0,0,1,0,1,0
