State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,39,2,28,3,67,5
Arunanchal Pradesh,0,0,0,0,0,0
Assam,6431,0,2652,0,9083,0
Bihar,10,1,4,1,14,2
Chhattisgarh,0,0,0,0,0,0
Goa,0,0,0,0,0,0
Gujarat,2,0,3,0,5,0
Haryana,54,0,46,0,100,0
Himachal Pradesh,0,0,0,0,0,0
Jammu,0,0,0,0,0,0
Kashmir,0,0,0,0,0,0
Jharkhand,1,0,2,0,3,0
Karnataka,33,1,30,0,63,1
Kerala,31,1,16,0,47,1
Madhya Pradesh,47,0,25,0,72,0
Maharashtra,20,0,12,0,32,0
Manipur,16,0,12,0,28,0
Meghalaya,2,0,0,0,2,0
Mizoram,1,0,1,0,2,0
Nagaland,0,0,0,0,0,0
Odisha,0,0,1,0,1,0
Punjab,44,0,40,0,84,0
Rajasthan,312,3,271,3,583,6
Sikkim,0,0,0,0,0,0
Tamil Nadu,4,2,0,0,4,2
Telangana,43,0,46,0,89,0
Tripura,9,0,7,0,16,0
Uttarakhand,16,0,12,0,28,0
Uttar Pradesh,24,1,35,0,59,1
West Bengal,165,0,186,2,351,2
Andaman & Nicobar Island,0,0,0,0,0,0
Chandigarh,19,2,11,2,30,4
Dadara & Nagar Havelli,0,0,0,0,0,0
Daman & Diu,0,0,0,0,0,0
NCT of Delhi,515,83,442,73,957,156
Lakshadweep,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0
