State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,499,66,269,46,768,112
Arunanchal Pradesh,0,0,0,0,0,0
Assam,3499,96,1610,51,5109,147
Bihar,152,16,103,16,255,32
Chhattisgarh,15,2,10,2,25,4
Goa,11,0,4,0,15,0
Gujarat,2,0,2,1,4,1
Haryana,36,2,21,0,57,2
Himachal Pradesh,14,0,4,0,18,0
Jammu,0,0,0,0,0,0
Kashmir,16,0,11,0,27,0
Jharkhand,115,1,98,0,213,1
Karnataka,62,1,49,0,111,1
Kerala,6,0,14,0,20,0
Madhya Pradesh,239,12,164,5,403,17
Maharashtra,75,0,58,0,133,0
Manipur,10,0,2,0,12,0
Meghalaya,29,1,20,0,49,1
Mizoram,9,1,7,2,16,3
Nagaland,55,0,30,0,85,0
Odisha,102,21,55,7,157,28
Punjab,0,0,0,0,0,0
Rajasthan,11,0,7,0,18,0
Sikkim,0,0,1,0,1,0
Tamil Nadu,93,6,52,2,145,8
Telangana,2,0,2,0,4,0
Tripura,0,0,3,0,3,0
Uttarakhand,9,1,4,1,13,2
Uttar Pradesh,754,29,724,52,1478,81
West Bengal,61,10,36,3,97,13
Andaman & Nicobar Island,2,0,3,0,5,0
Chandigarh,117,15,110,13,227,28
Dadara & Nagar Havelli,7,7,2,2,9,9
Daman & Diu,0,0,0,0,0,0
NCT of Delhi,302,17,183,12,485,29
Lakshadweep,0,0,0,0,0,0
Puducherry,40,5,43,6,83,11
