State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,3680,0,10316,0,13996,0
Arunanchal Pradesh,2,0,6,0,8,0
Assam,0,0,0,0,0,0
Bihar,45,0,1001,0,1046,0
Chhattisgarh,57,0,91,0,148,0
Goa,0,0,0,0,0,0
Gujarat,562,0,1195,0,1757,0
Haryana,152,0,743,0,895,0
Himachal Pradesh,306,0,1928,0,2234,0
Jammu,0,0,367,0,367,0
Kashmir,0,0,11,0,11,0
Jharkhand,143,0,148,0,291,0
Karnataka,1210,0,2746,0,3956,0
Kerala,15,0,13,0,28,0
Madhya Pradesh,2590,0,7788,0,10378,0
Maharashtra,45,0,123,0,168,0
Manipur,21,0,49,0,70,0
Meghalaya,61,0,81,0,142,0
Mizoram,9,0,5,0,14,0
Nagaland,22,0,21,0,43,0
Odisha,1220,0,1719,0,2939,0
Punjab,0,0,0,0,0,0
Rajasthan,1882,0,2612,0,4494,0
Sikkim,0,0,0,0,0,0
Tamil Nadu,75,0,156,0,231,0
Telangana,1892,0,8988,0,10880,0
Tripura,2,0,2,0,4,0
Uttarakhand,11,0,24,0,35,0
Uttar Pradesh,919,0,2504,0,3423,0
West Bengal,78,0,158,0,236,0
Andaman & Nicobar Island,1,0,2,0,3,0
Chandigarh,171,0,222,0,393,0
Dadara & Nagar Havelli,0,0,0,0,0,0
Daman & Diu,131,0,297,0,428,0
NCT of Delhi,6,0,2,0,8,0
Lakshadweep,0,0,0,0,0,0
Puducherry,1,0,0,0,1,0
