State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,3197,0,9287,0,12484,0
Arunanchal Pradesh,1,0,1,0,2,0
Assam,0,0,0,0,0,0
Bihar,3,0,835,0,838,0
Chhattisgarh,96,0,28,0,124,0
Goa,4,0,7,0,11,0
Gujarat,260,0,718,0,978,0
Haryana,879,0,2478,0,3357,0
Himachal Pradesh,400,0,2054,0,2454,0
Jammu,3,0,336,0,339,0
Kashmir,0,0,2,0,2,0
Jharkhand,54,0,74,0,128,0
Karnataka,1226,0,2459,0,3685,0
Kerala,32,0,16,0,48,0
Madhya Pradesh,2042,0,6098,0,8140,0
Maharashtra,18,0,90,0,108,0
Manipur,14,0,17,0,31,0
Meghalaya,3,0,14,0,17,0
Mizoram,46,0,65,0,111,0
Nagaland,3,0,4,0,7,0
Odisha,495,0,689,0,1184,0
Punjab,0,0,0,0,0,0
Rajasthan,1161,0,1708,0,2869,0
Sikkim,0,0,0,0,0,0
Tamil Nadu,17,0,79,0,96,0
Telangana,4824,0,10116,0,14940,0
Tripura,1,0,0,0,1,0
Uttarakhand,2,0,80,0,82,0
Uttar Pradesh,915,0,2147,0,3062,0
West Bengal,40,0,64,0,104,0
Andaman & Nicobar Island,0,0,0,0,0,0
Chandigarh,12,0,7,0,19,0
Dadara & Nagar Havelli,0,0,0,0,0,0
Daman & Diu,51,0,148,0,199,0
NCT of Delhi,33,5,6,0,39,5
Lakshadweep,0,0,0,0,0,0
Puducherry,4,0,7,0,11,0
