Total,Others,Zika Virus Disease  (ZVD),Viral Hepatitis E,Viral Hepatitis C,Viral Hepatitis B,Viral Hepatitis A,Viral Hepatitis,Viral Fever,Scrub Typhus,Rubella,Pertussis,Nipah Viral Ecephalities,Mumps,Measles & Rubella,Measles,Malaria,Leptospirosis,Kyasanur Forest Disease,Kala Azar,Jaundice,Influenza B,Influenza A H3N2,Influenza A H1N1,Food Poisoning,Fever with Rash,Enteric Fever,Dysentry,Diphtheria,Dengue,Haemorrhagic fever (CCHF) Crimean-Congo,Cholera,Chikungunya,Chickenpox,Anthrax,Syndrome (AES) Acute Encephalitis,Acute Diarrheal Disease,State/UT
35,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,1,,,,1,5,,16,Andhra Pradesh
14,,,,,,1,,,,,,,3,,1,,,,,,,,,1,,,2,,,,,,1,,3,2,Arunanchal Pradesh
95,4,,,,,,,4,,,,,,,9,5,1,,,1,,,,18,,2,,,2,,1,,13,,20,15,Assam
150,2,,,,,,,,,,,,,,69,2,,,2,,,,,7,1,,,1,3,,,,49,,3,11,Bihar
35,1,,2,,,,,,,,,,,,1,,,,,1,,,,6,,,,,5,,,,3,,2,14,Chhattisgarh
6,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,Goa
77,4,,,,,,4,2,,,,,,2,17,,,,,,,,,14,,1,,,,2,5,1,,,,25,Gujarat
23,,,,,,,,,,,,,1,,11,,,,,,,,,,,,,1,,,,,,,,10,Haryana
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,10,Himachal Pradesh
45,,,1,,1,5,,,,,,,6,,7,,,,,2,,,,5,,,,1,,,,,8,,,9,Jammu & Kashmir
79,,,1,,,,,1,,,,,,,27,,,,,,,,,12,,,,1,3,,,,18,,1,15,Jharkhand
125,6,,,,,2,,5,,,,,7,,,3,,,,,6,1,,16,,2,2,3,2,,2,29,18,,,21,Karnataka
96,3,,1,,,18,6,,,,,1,2,,2,1,1,,1,,1,1,1,18,,,,,13,1,1,1,15,,,8,Kerala
90,1,1,,,,,,2,,,2,,,,20,3,,,,,,,,12,,,,,3,,5,2,3,,3,33,Madhya Pradesh
158,3,,,,,3,2,4,1,1,,,,,21,,,,,,,,,16,,1,,,36,,6,17,2,,6,39,Maharashtra
16,2,,,,,,,1,1,,,,,,2,,,,,,,,,,,,,,,,,,1,,8,1,Manipur
5,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,1,1,Meghalaya
8,,,,,,,,,4,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,Mizoram
7,,,,,,,,,,,,,,,4,,,,,,,,,1,,,,,2,,,,,,,,Nagaland
45,,,,,,1,6,,,,,,,,2,,,,,,,,,17,,,,,,,,,6,,1,12,Odisha
43,,,2,,,,,,,,,,8,,7,,,,,,,,,2,,,,,,,7,,4,,,13,Punjab
47,,1,,,,,,,,,,,,,10,2,1,2,,,,,,16,,,,,2,,,,,,,13,Rajasthan
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,Sikkim
128,2,,,,,4,,6,,,,,2,,,1,4,,,,,,,15,,5,,,5,,,33,31,,,20,Tamil Nadu
28,,,,,,,,3,,,,,,,,,,,,,,,,9,,,,,3,,,4,,,,9,Telangana
10,1,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,1,,,,,1,,,4,Tripura
129,,,,,,,,1,,,,,1,,90,1,,,,,,,,15,,,,,1,,,,11,,,9,Uttar Pradesh
16,1,,,1,,1,1,,,,,,,,2,,,,,,,,,1,,1,,1,1,,,,2,,1,3,Uttarakhand
33,1,,,,,,,1,,,,,,,1,,,,,,,,,5,,,,,9,,4,,,1,,11,West Bengal
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Andaman & Nicobar Island
5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,2,Chandigarh
5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,2,,,1,Dadara & Nagar Havelli
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daman & Diu
9,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,3,,,,,,NCT of Delhi
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lakshadweep
14,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,2,5,,,1,Puducherry
