State/UT,2014 Cases,2014 Deaths,2015 Cases,2015 Deaths,2016 Cases,2016 Deaths,2017 Cases,2017 Deaths,2018 Cases (Provisional),2018 Deaths (Provisional)
Andhra Pradesh,0,0,0,0,0,0,1,0,0,0
Arunanchal Pradesh,32,3,32,2,0,0,5,0,0,0
Assam,761,165,614,135,427,92,604,87,509,94
Bihar,20,2,66,12,100,25,74,11,70,11
Chhattisgarh,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,1,0,0,0,3,0
Gujarat,0,0,0,0,0,0,0,0,0,0
Haryana,5,1,2,0,2,0,4,1,0,0
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0
Jharkhand,90,2,116,8,47,5,29,1,66,0
Karnataka,13,0,27,1,11,0,26,2,35,5
Kerala,3,2,2,1,2,0,1,0,5,2
Madhya Pradesh,0,0,0,0,0,0,0,0,0,0
Maharashtra,0,0,7,0,12,1,27,0,6,1
Manipur,1,0,6,0,47,1,186,10,57,3
Meghalaya,72,3,41,8,47,4,48,4,90,6
Mizoram,0,0,0,0,0,0,0,0,0,0
Nagaland,6,0,0,0,0,0,10,2,1,0
Odisha,0,0,33,2,242,42,79,0,143,0
Punjab,0,0,0,0,1,0,1,1,0,0
Rajasthan,0,0,0,0,0,0,0,0,0,0
Sikkim,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,36,3,53,0,51,0,127,2,147,0
Telangana,0,0,8,1,4,0,11,0,20,0
Tripura,14,0,28,4,98,1,90,0,59,0
Uttarakhand,2,0,2,0,0,0,0,0,0,0
Uttar Pradesh,191,34,351,42,410,73,693,93,323,25
West Bengal,415,78,342,75,174,39,165,40,140,35
Andaman & Nicobar Island,0,0,0,0,0,0,0,0,0,0
Chandigarh,0,0,0,0,0,0,0,0,0,0
Dadara & Nagar Havelli,0,0,0,0,0,0,0,0,0,0
Daman & Diu,0,0,0,0,0,0,0,0,0,0
NCT of Delhi,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0,0,0,0,0
