State/UT,2014 Cases,2014 Deaths,2015 Cases,2015 Deaths,2016 Cases,2016 Deaths,2017 Cases,2017 Deaths,2018 Cases (Provisional),2018 Deaths (Provisional)
Andhra Pradesh,0,0,0,0,0,0,0,0,0,0
Arunanchal Pradesh,0,0,0,0,0,0,0,0,0,0
Assam,1,0,1,0,0,0,0,0,0,0
Bihar,7615,10,6517,5,4773,0,4127,0,3423,0
Chhattisgarh,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0
Gujarat,0,0,0,0,0,0,0,0,0,0
Haryana,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0
Jharkhand,937,0,1262,0,1185,0,1358,0,752,0
Karnataka,0,0,0,0,0,0,0,0,0,0
Kerala,0,0,4,0,2,0,0,0,0,0
Madhya Pradesh,0,0,0,0,0,0,0,0,0,0
Maharashtra,0,0,0,0,0,0,0,0,0,0
Manipur,0,0,0,0,0,0,0,0,0,0
Meghalaya,0,0,0,0,0,0,0,0,0,0
Mizoram,0,0,0,0,0,0,0,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0,0
Odisha,0,0,0,0,0,0,0,0,0,0
Punjab,0,0,1,0,0,0,0,0,0,0
Rajasthan,0,0,0,0,0,0,0,0,0,0
Sikkim,5,0,5,0,1,0,0,0,0,0
Tamil Nadu,0,0,0,0,0,0,0,0,0,0
Telangana,0,0,0,0,0,0,0,0,0,0
Tripura,0,0,0,0,0,0,0,0,0,0
Uttarakhand,4,0,3,0,2,0,2,0,0,0
Uttar Pradesh,11,0,131,0,107,0,115,0,110,0
West Bengal,668,1,576,0,179,0,156,0,95,0
Andaman & Nicobar Island,0,0,0,0,0,0,0,0,0,0
Chandigarh,0,0,0,0,0,0,0,0,0,0
Dadara & Nagar Havelli,0,0,0,0,0,0,0,0,0,0
Daman & Diu,0,0,0,0,0,0,0,0,0,0
NCT of Delhi,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0,0,0,0,0
