State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,38,0,27,0,65,0
Arunanchal Pradesh,172,0,146,0,318,0
Assam,640,0,400,0,1040,0
Bihar,122,0,89,0,211,0
Chhattisgarh,6,0,9,0,15,0
Goa,7,0,7,0,14,0
Gujarat,705,0,607,0,1312,0
Haryana,129,0,83,0,212,0
Himachal Pradesh,132,0,123,0,255,0
Jammu,17,0,13,0,30,0
Kashmir,794,0,694,0,1488,0
Jharkhand,284,0,236,0,520,0
Karnataka,228,0,198,0,426,0
Kerala,314,0,270,0,584,0
Madhya Pradesh,382,0,282,0,664,0
Maharashtra,1492,0,1019,2,2511,2
Manipur,203,0,206,0,409,0
Meghalaya,151,0,160,0,311,0
Mizoram,140,0,146,0,286,0
Nagaland,48,0,35,1,83,1
Odisha,522,0,361,0,883,0
Punjab,0,0,0,0,0,0
Rajasthan,444,0,285,0,729,0
Sikkim,144,0,104,0,248,0
Tamil Nadu,75,0,60,0,135,0
Telangana,201,0,114,0,315,0
Tripura,70,0,60,0,130,0
Uttarakhand,101,0,100,0,201,0
Uttar Pradesh,492,1,311,1,803,2
West Bengal,2106,10,1804,8,3910,18
Andaman & Nicobar Island,1,0,0,0,1,0
Chandigarh,11,0,11,1,22,1
Dadara & Nagar Havelli,26,0,20,0,46,0
Daman & Diu,1,0,3,0,4,0
NCT of Delhi,224,3,198,1,422,4
Lakshadweep,0,0,0,0,0,0
Puducherry,7,0,8,0,15,0
