State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,114,0,70,0,184,0
Arunanchal Pradesh,25,0,10,0,35,0
Assam,1464,0,897,0,2361,0
Bihar,298,1,202,0,500,1
Chhattisgarh,8,0,2,0,10,0
Goa,8,0,7,0,15,0
Gujarat,479,0,390,0,869,0
Haryana,203,0,149,0,352,0
Himachal Pradesh,13,0,13,0,26,0
Jammu,63,0,47,0,110,0
Kashmir,1087,0,952,0,2039,0
Jharkhand,296,0,156,0,452,0
Karnataka,128,0,118,0,246,0
Kerala,165,0,141,0,306,0
Madhya Pradesh,256,1,177,1,433,2
Maharashtra,1203,0,760,2,1963,2
Manipur,232,0,251,0,483,0
Meghalaya,106,0,113,0,219,0
Mizoram,98,1,99,0,197,1
Nagaland,287,0,310,0,597,0
Odisha,112,0,87,0,199,0
Punjab,1,0,2,0,3,0
Rajasthan,678,2,389,1,1067,3
Sikkim,44,1,25,2,69,3
Tamil Nadu,26,0,13,0,39,0
Telangana,0,0,0,0,0,0
Tripura,135,0,150,0,285,0
Uttarakhand,66,0,90,0,156,0
Uttar Pradesh,799,0,550,0,1349,0
West Bengal,2528,6,2358,2,4886,8
Andaman & Nicobar Island,11,0,4,0,15,0
Chandigarh,29,0,18,1,47,1
Dadara & Nagar Havelli,7,0,3,1,10,1
Daman & Diu,0,0,1,0,1,0
NCT of Delhi,804,8,567,4,1371,12
Lakshadweep,0,0,0,0,0,0
Puducherry,0,0,1,0,1,0
