State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,465,29,293,16,758,45
Arunanchal Pradesh,0,0,0,0,0,0
Assam,0,0,0,0,0,0
Bihar,326,0,173,0,499,0
Chhattisgarh,16,0,9,0,25,0
Goa,5,0,2,0,7,0
Gujarat,1,0,0,0,1,0
Haryana,208,2,127,0,335,2
Himachal Pradesh,0,0,0,0,0,0
Jammu,0,0,0,0,0,0
Kashmir,0,0,0,0,0,0
Jharkhand,1,0,0,0,1,0
Karnataka,83,0,70,0,153,0
Kerala,3,0,2,1,5,1
Madhya Pradesh,6,0,38,0,44,0
Maharashtra,30,0,24,0,54,0
Manipur,0,0,0,0,0,0
Meghalaya,1,0,6,0,7,0
Mizoram,4,0,10,2,14,2
Nagaland,13,0,7,0,20,0
Odisha,20,1,13,0,33,1
Punjab,0,0,0,0,0,0
Rajasthan,23,1,21,2,44,3
Sikkim,0,0,0,0,0,0
Tamil Nadu,6,0,3,1,9,1
Telangana,1,0,2,0,3,0
Tripura,2,0,0,0,2,0
Uttarakhand,2,0,10,0,12,0
Uttar Pradesh,153,1,130,2,283,3
West Bengal,551,44,416,36,967,80
Andaman & Nicobar Island,14,1,7,0,21,1
Chandigarh,21,5,16,5,37,10
Dadara & Nagar Havelli,0,0,0,0,0,0
Daman & Diu,0,0,0,0,0,0
NCT of Delhi,16,2,30,1,46,3
Lakshadweep,0,0,0,0,0,0
Puducherry,0,0,2,0,2,0
