State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,9,2,5,1,14,3
Arunanchal Pradesh,0,0,0,0,0,0
Assam,0,0,0,0,0,0
Bihar,38,0,31,0,69,0
Chhattisgarh,0,0,0,0,0,0
Goa,0,0,0,0,0,0
Gujarat,0,0,0,0,0,0
Haryana,2,0,0,0,2,0
Himachal Pradesh,0,0,0,0,0,0
Jammu,0,0,0,0,0,0
Kashmir,0,0,0,0,0,0
Jharkhand,54,0,48,0,102,0
Karnataka,1,0,0,0,1,0
Kerala,0,0,0,0,0,0
Madhya Pradesh,19,0,11,0,30,0
Maharashtra,3,0,3,0,6,0
Manipur,0,0,0,0,0,0
Meghalaya,1,0,27,1,28,1
Mizoram,0,0,0,0,0,0
Nagaland,0,0,0,0,0,0
Odisha,22,0,16,0,38,0
Punjab,0,0,0,0,0,0
Rajasthan,12,0,8,0,20,0
Sikkim,0,0,0,0,0,0
Tamil Nadu,0,0,0,0,0,0
Telangana,0,0,0,0,0,0
Tripura,0,0,0,0,0,0
Uttarakhand,0,0,0,0,0,0
Uttar Pradesh,6,2,8,0,14,2
West Bengal,5,0,4,0,9,0
Andaman & Nicobar Island,0,0,0,0,0,0
Chandigarh,0,0,0,0,0,0
Dadara & Nagar Havelli,1,0,0,0,1,0
Daman & Diu,0,0,0,0,0,0
NCT of Delhi,1,1,2,0,3,1
Lakshadweep,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0
