State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,1,1,1,0,2,1
Arunanchal Pradesh,0,0,0,0,0,0
Assam,0,0,0,0,0,0
Bihar,0,0,5,0,5,0
Chhattisgarh,6,0,2,0,8,0
Goa,0,0,0,0,0,0
Gujarat,0,0,0,0,0,0
Haryana,0,0,0,0,0,0
Himachal Pradesh,0,0,0,0,0,0
Jammu,0,0,0,0,0,0
Kashmir,0,0,0,0,0,0
Jharkhand,2,0,0,0,2,0
Karnataka,1,0,1,0,2,0
Kerala,0,0,1,0,1,0
Madhya Pradesh,11,0,3,0,14,0
Maharashtra,5,0,4,0,9,0
Manipur,0,0,0,0,0,0
Meghalaya,0,1,59,2,59,3
Mizoram,0,0,0,0,0,0
Nagaland,0,0,0,0,0,0
Odisha,1,0,0,0,1,0
Punjab,0,0,0,0,0,0
Rajasthan,20,0,12,0,32,0
Sikkim,0,0,0,0,0,0
Tamil Nadu,0,0,0,0,0,0
Telangana,17,0,8,0,25,0
Tripura,0,0,0,0,0,0
Uttarakhand,0,0,0,0,0,0
Uttar Pradesh,2,0,0,0,2,0
West Bengal,6,0,12,0,18,0
Andaman & Nicobar Island,0,0,0,0,0,0
Chandigarh,1,0,0,0,1,0
Dadara & Nagar Havelli,0,0,0,0,0,0
Daman & Diu,0,0,0,0,0,0
NCT of Delhi,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0
