State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,17676,228,14960,140,32636,368
Arunanchal Pradesh,559,0,622,1,1181,1
Assam,7275,87,5415,40,12690,127
Bihar,14991,7,11367,4,26358,11
Chhattisgarh,3775,21,3309,12,7084,33
Goa,1266,65,1388,41,2654,106
Gujarat,767,2,717,2,1484,4
Haryana,5033,10,3879,1,8912,11
Himachal Pradesh,6666,68,6982,39,13648,107
Jammu,6600,8,6024,3,12624,11
Kashmir,3383,0,2952,0,6335,0
Jharkhand,1900,2,1553,3,3453,5
Karnataka,9839,140,8249,108,18088,248
Kerala,2806,24,2505,9,5311,33
Madhya Pradesh,42653,58,31452,49,74105,107
Maharashtra,5747,2,4398,1,10145,3
Manipur,605,0,496,0,1101,0
Meghalaya,2244,65,2183,48,4427,113
Mizoram,1006,25,809,17,1815,42
Nagaland,984,0,804,0,1788,0
Odisha,14169,160,10658,114,24827,274
Punjab,5557,15,4223,9,9780,24
Rajasthan,83730,35,57116,23,140846,58
Sikkim,262,4,201,0,463,4
Tamil Nadu,5975,384,5872,229,11847,613
Telangana,4328,5,4014,0,8342,5
Tripura,661,17,588,10,1249,27
Uttarakhand,9548,0,8815,0,18363,0
Uttar Pradesh,80018,70,63573,68,143591,138
West Bengal,55065,307,47050,167,102115,474
Andaman & Nicobar Island,155,11,125,10,280,21
Chandigarh,12119,102,9244,73,21363,175
Dadara & Nagar Havelli,166,20,106,11,272,31
Daman & Diu,30,0,11,0,41,0
NCT of Delhi,15694,529,13108,346,28802,875
Lakshadweep,25,0,23,0,48,0
Puducherry,458,43,478,13,936,56
