State/UT,Male Cases,Female Cases,Total Cases,Male Deaths,Female Deaths,Total Deaths
Andhra Pradesh,12,1,13,12,1,13
Arunanchal Pradesh,0,0,0,0,0,0
Assam,0,0,0,0,0,0
Bihar,0,0,0,0,0,0
Chhattisgarh,3,0,3,3,0,3
Goa,0,0,0,0,0,0
Gujarat,0,0,0,0,0,0
Haryana,0,0,0,0,0,0
Himachal Pradesh,0,1,1,0,1,1
Jammu,0,0,0,0,0,0
Kashmir,0,0,0,0,0,0
Jharkhand,0,0,0,0,0,0
Karnataka,19,4,23,19,4,23
Kerala,2,3,5,2,3,5
Madhya Pradesh,0,1,1,0,1,1
Maharashtra,0,1,1,0,1,1
Manipur,0,0,0,0,0,0
Meghalaya,0,0,0,0,0,0
Mizoram,0,0,0,0,0,0
Nagaland,1,0,1,1,0,1
Odisha,1,0,1,1,0,1
Punjab,0,0,0,0,0,0
Rajasthan,0,0,0,0,0,0
Sikkim,0,0,0,0,0,0
Tamil Nadu,0,0,0,0,0,0
Telangana,0,0,0,0,0,0
Tripura,0,0,0,0,0,0
Uttarakhand,0,0,0,0,0,0
Uttar Pradesh,0,0,0,0,0,0
West Bengal,33,13,46,33,13,46
Andaman & Nicobar Island,0,0,0,0,0,0
Chandigarh,1,1,2,1,1,2
Dadara & Nagar Havelli,0,0,0,0,0,0
Daman & Diu,0,0,0,0,0,0
NCT of Delhi,11,2,13,11,2,13
Lakshadweep,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0
