State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andaman & Nicobar Island,,,,,,
Andhra Pradesh,2600,0,2795,0,5395,0
Arunanchal Pradesh,5,0,11,0,16,0
Assam,0,0,0,0,0,0
Bihar,196,0,1466,0,1662,0
Chhattisgarh,96,0,75,0,171,0
Goa,3,0,1,0,4,0
Gujarat,411,0,454,0,865,0
Haryana,7,0,2,0,9,0
Himachal Pradesh,4,0,2,0,6,0
Jammu,0,0,0,0,0,0
Kashmir,0,0,0,0,0,0
Jharkhand,56,0,24,0,80,0
Karnataka,769,0,892,0,1661,0
Kerala,28,0,5,0,33,0
Madhya Pradesh,757,0,1804,0,2561,0
Maharashtra,16,0,56,0,72,0
Manipur,0,0,2,0,2,0
Meghalaya,61,0,205,0,266,0
Mizoram,0,0,1,0,1,0
Nagaland,8,0,4,0,12,0
Odisha,45,0,42,0,87,0
Punjab,0,0,0,0,0,0
Rajasthan,1046,0,1689,0,2735,0
Sikkim,0,0,0,0,0,0
Tamil Nadu,154,0,164,0,318,0
Telangana,1662,0,1822,0,3484,0
Tripura,11,0,7,0,18,0
Uttarakhand,23,0,0,0,23,0
Uttar Pradesh,86,0,32,0,118,0
West Bengal,15,0,12,0,27,0
Andaman & Nicobar Island,0,0,0,0,0,0
Chandigarh,41,0,48,0,89,0
Dadara & Nagar Havelli,1,0,1,0,2,0
Daman & Diu,0,0,0,0,0,0
NCT of Delhi,55,0,20,0,75,0
Lakshadweep,0,0,0,0,0,0
Odisha,8208,0,11672,0,19880,0
