State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,1676,0,2393,0,4069,0
Arunanchal Pradesh,2,0,0,0,2,0
Assam,0,0,0,0,0,0
Bihar,104,0,12,0,116,0
Chhattisgarh,122,0,370,0,492,0
Goa,1,0,2,0,3,0
Gujarat,80,0,64,0,144,0
Haryana,20,0,12,0,32,0
Himachal Pradesh,0,0,1,0,1,0
Jammu,0,0,0,0,0,0
Kashmir,4,0,3,0,7,0
Jharkhand,16,0,21,0,37,0
Karnataka,997,0,917,0,1914,0
Kerala,38,0,11,0,49,0
Madhya Pradesh,697,0,1690,0,2387,0
Maharashtra,73,0,53,0,126,0
Manipur,0,0,3,0,3,0
Meghalaya,88,0,207,0,295,0
Mizoram,31,0,53,0,84,0
Nagaland,2,0,8,0,10,0
Odisha,32,0,31,0,63,0
Punjab,0,0,0,0,0,0
Rajasthan,984,0,2916,0,3900,0
Sikkim,0,0,2,0,2,0
Tamil Nadu,94,0,66,0,160,0
Telangana,721,0,733,0,1454,0
Tripura,1,0,3,0,4,0
Uttarakhand,0,0,0,0,0,0
Uttar Pradesh,88,0,112,0,200,0
West Bengal,40,0,32,0,72,0
Andaman & Nicobar Island,0,0,0,0,0,0
Chandigarh,56,0,43,0,99,0
Dadara & Nagar Havelli,11,0,3,0,14,0
Daman & Diu,1,0,1,0,2,0
NCT of Delhi,75,0,69,0,144,0
Lakshadweep,0,0,0,0,0,0
Puducherry,72,0,38,0,110,0
