State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,6,0,5,0,11,0
Arunanchal Pradesh,0,0,0,0,0,0
Assam,1249,0,831,0,2080,0
Bihar,74,11,32,4,106,15
Chhattisgarh,0,0,0,0,0,0
Goa,16,0,7,0,23,0
Gujarat,0,0,0,0,0,0
Haryana,5,0,2,0,7,0
Himachal Pradesh,0,0,0,0,0,0
Jammu,0,0,0,0,0,0
Kashmir,0,0,0,0,0,0
Jharkhand,52,0,36,0,88,0
Karnataka,33,13,23,13,56,26
Kerala,1,0,0,0,1,0
Madhya Pradesh,62,5,25,1,87,6
Maharashtra,27,1,12,0,39,1
Manipur,0,0,0,0,0,0
Meghalaya,5,0,6,0,11,0
Mizoram,0,0,0,0,0,0
Nagaland,1,0,0,0,1,0
Odisha,11,2,13,3,24,5
Punjab,0,0,0,0,0,0
Rajasthan,10,0,6,0,16,0
Sikkim,0,0,0,0,0,0
Tamil Nadu,0,0,0,0,0,0
Telangana,77,0,64,0,141,0
Tripura,7,4,0,0,7,4
Uttarakhand,15,0,47,0,62,0
Uttar Pradesh,135,15,77,6,212,21
West Bengal,143,8,101,4,244,12
Andaman & Nicobar Island,0,0,0,0,0,0
Chandigarh,13,1,5,1,18,2
Dadara & Nagar Havelli,7,5,0,0,7,5
Daman & Diu,0,0,0,0,0,0
NCT of Delhi,26,8,14,2,40,10
Lakshadweep,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0
