State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,4219,59,3163,23,7382,82
Arunanchal Pradesh,64,1,76,0,140,1
Assam,1039,0,348,0,1387,0
Bihar,8227,0,16403,0,24630,0
Chhattisgarh,199,7,150,0,349,7
Goa,65,1,42,1,107,2
Gujarat,2215,0,1623,0,3838,0
Haryana,4758,10,4332,6,9090,16
Himachal Pradesh,594,2,407,0,1001,2
Jammu,1771,0,1394,0,3165,0
Kashmir,1053,0,953,0,2006,0
Jharkhand,1110,1,759,3,1869,4
Karnataka,2782,3,2224,2,5006,5
Kerala,2993,6,2029,1,5022,7
Madhya Pradesh,10290,7,7617,1,17907,8
Maharashtra,3827,2,2462,0,6289,2
Manipur,76,0,52,0,128,0
Meghalaya,199,0,120,1,319,1
Mizoram,152,0,77,2,229,2
Nagaland,428,0,340,0,768,0
Odisha,1929,29,1140,10,3069,39
Punjab,8441,5,5530,3,13971,8
Rajasthan,3262,0,2059,0,5321,0
Sikkim,171,0,129,0,300,0
Tamil Nadu,454,1,279,0,733,1
Telangana,57,0,60,0,117,0
Tripura,69,0,19,0,88,0
Uttarakhand,5482,12,5418,2,10900,14
Uttar Pradesh,12310,23,8410,20,20720,43
West Bengal,2230,59,1199,16,3429,75
Andaman & Nicobar Island,49,0,23,0,72,0
Chandigarh,745,14,495,7,1240,21
Dadara & Nagar Havelli,12,4,6,0,18,4
Daman & Diu,30,0,33,0,63,0
NCT of Delhi,8296,117,5027,73,13323,190
Lakshadweep,3,0,2,0,5,0
Puducherry,179,1,109,2,288,3
