State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,376,14,308,16,684,30
Arunanchal Pradesh,0,0,0,0,0,0
Assam,1318,0,696,0,2014,0
Bihar,201,1,134,1,335,2
Chhattisgarh,71,0,49,0,120,0
Goa,17,0,26,0,43,0
Gujarat,15,0,21,0,36,0
Haryana,416,1,238,1,654,2
Himachal Pradesh,62,4,55,1,117,5
Jammu,0,0,0,0,0,0
Kashmir,157,0,123,0,280,0
Jharkhand,35,0,38,0,73,0
Karnataka,128,1,103,3,231,4
Kerala,3,0,4,0,7,0
Madhya Pradesh,211,1,140,0,351,1
Maharashtra,38,0,24,0,62,0
Manipur,4,0,2,0,6,0
Meghalaya,24,0,14,0,38,0
Mizoram,22,3,26,1,48,4
Nagaland,69,0,43,0,112,0
Odisha,46,8,26,2,72,10
Punjab,0,0,0,0,0,0
Rajasthan,59,0,32,0,91,0
Sikkim,1,0,0,0,1,0
Tamil Nadu,21,3,18,7,39,10
Telangana,345,0,375,0,720,0
Tripura,1,0,0,0,1,0
Uttarakhand,16,0,20,1,36,1
Uttar Pradesh,3219,4,2832,6,6051,10
West Bengal,139,5,274,6,413,11
Andaman & Nicobar Island,0,0,0,0,0,0
Chandigarh,86,8,55,6,141,14
Dadara & Nagar Havelli,16,9,7,3,23,12
Daman & Diu,0,0,0,0,0,0
NCT of Delhi,188,18,110,4,298,22
Lakshadweep,0,0,0,0,0,0
Puducherry,13,0,0,0,13,0
