State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,1,0,0,0,1,0
Arunanchal Pradesh,7,0,8,0,15,0
Assam,2664,0,1478,0,4142,0
Bihar,96,0,111,0,207,0
Chhattisgarh,420,3,304,1,724,4
Goa,0,0,0,0,0,0
Gujarat,4,0,3,0,7,0
Haryana,57,0,60,0,117,0
Himachal Pradesh,1,0,0,0,1,0
Jammu,2,0,1,0,3,0
Kashmir,16,0,9,0,25,0
Jharkhand,2672,0,2323,0,4995,0
Karnataka,356,0,265,0,621,0
Kerala,29,0,31,0,60,0
Madhya Pradesh,3385,0,2834,0,6219,0
Maharashtra,402,0,322,0,724,0
Manipur,4,0,3,0,7,0
Meghalaya,633,0,713,0,1346,0
Mizoram,0,0,0,0,0,0
Nagaland,1,0,1,0,2,0
Odisha,338,0,300,0,638,0
Punjab,0,0,0,0,0,0
Rajasthan,447,0,353,0,800,0
Sikkim,6,0,4,0,10,0
Tamil Nadu,0,0,0,0,0,0
Telangana,432,0,370,0,802,0
Tripura,6,0,6,0,12,0
Uttarakhand,113,0,156,0,269,0
Uttar Pradesh,631,2,437,2,1068,4
West Bengal,597,1,432,0,1029,1
Andaman & Nicobar Island,0,0,0,0,0,0
Chandigarh,11,0,15,1,26,1
Dadara & Nagar Havelli,559,0,355,0,914,0
Daman & Diu,1,0,0,0,1,0
NCT of Delhi,2,0,0,0,2,0
Lakshadweep,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0
