State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,113,0,74,0,187,0
Arunanchal Pradesh,18,0,16,0,34,0
Assam,3116,0,1573,0,4689,0
Bihar,76,0,47,0,123,0
Chhattisgarh,462,0,390,0,852,0
Goa,0,0,0,0,0,0
Gujarat,2,0,2,0,4,0
Haryana,95,0,69,2,164,2
Himachal Pradesh,0,0,0,0,0,0
Jammu,0,0,0,0,0,0
Kashmir,60,0,42,0,102,0
Jharkhand,1892,0,1480,0,3372,0
Karnataka,721,0,647,0,1368,0
Kerala,42,0,31,0,73,0
Madhya Pradesh,948,0,698,0,1646,0
Maharashtra,177,0,155,0,332,0
Manipur,0,0,0,0,0,0
Meghalaya,390,0,389,0,779,0
Mizoram,2,0,3,0,5,0
Nagaland,9,0,4,0,13,0
Odisha,332,0,227,0,559,0
Punjab,0,0,0,0,0,0
Rajasthan,401,0,344,0,745,0
Sikkim,0,0,0,0,0,0
Tamil Nadu,0,0,0,0,0,0
Telangana,332,0,262,0,594,0
Tripura,2,0,1,0,3,0
Uttarakhand,139,0,156,0,295,0
Uttar Pradesh,573,0,409,0,982,0
West Bengal,525,0,370,0,895,0
Andaman & Nicobar Island,0,0,0,0,0,0
Chandigarh,37,2,17,2,54,4
Dadara & Nagar Havelli,49,0,27,0,76,0
Daman & Diu,9,0,9,0,18,0
NCT of Delhi,23,1,19,1,42,2
Lakshadweep,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0
