Causes,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"A. Natural 
Calamity",22415,21502,25153,23993,22255,25066,23690,22960,22759,20201,10510
a.   Air-Crash,6,2,11,19,12,23,18,14,45,15,23
"b.   Collapse 
of Structures",2718,2399,2623,2833,2847,2682,3161,2682,2832,1821,1885
c.   Drowning,23571,25571,27064,27206,25911,28001,29708,27558,30041,29903,29822
"d.   
Electrocution",6987,7619,8076,8067,8539,9059,8945,8750,10218,9606,9986
e.   Explosions,643,824,669,792,668,493,532,403,449,1194,831
f.   Falls,9132,9821,10497,10637,10622,11571,11867,12319,12803,15399,16759
"g.   Factory/
Machine 
accidents",671,869,836,858,1044,1043,1091,1007,955,797,695
h.   Fire,19093,19222,20772,22454,23268,24414,24576,23281,22177,19513,17700
i.   Fire Arms,2254,2161,2046,1639,1504,1688,1250,1217,1203,633,736
"j. Sudden 
Deaths",18519,19450,21311,22738,24836,27364,26649,28961,31278,26526,35023
"k. Killed by 
Animals",847,864,1007,827,962,981,1233,959,998,886,951
"l. Mines 
or quarry 
disaster",456,409,435,371,423,355,385,359,387,210,118
m. Poisoning,20800,23434,25447,24261,26634,28012,29478,30748,29249,20587,26173
n. Stampede,346,18,75,434,110,113,489,70,400,178,480
o. Suffocation,1549,1696,1313,1496,1257,1400,2013,2075,2187,1255,1437
"p. Traffic 
accidents",118265,131652,140560,144587,152689,161736,165072,168301,166506,169107,177423
"q. Other 
Causes",31389,32478,35992,35135,35906,40057,39473,41611,45917,112375,67740
"r. Causes Not 
Known",14514,14713,16907,13962,17534,20591,21254,21707,20113,21551,15165
