State/UT,In seeing,In Hearing,In Speech,In Movement,Mental Retardation,Mental Illness,Any Other,Multiple Disability,Total number of disabled persons
Andhra Pradesh,398144,334292,219543,538934,132380,43169,409775,190370,"2,266,607"
Arunanchal Pradesh,5652,8127,1538,3235,1264,631,3878,2409,26734
Assam,80553,101577,39750,76007,26374,18819,87461,49524,480065
Bihar,549080,572163,170845,369577,89251,37521,431728,110844,2331009
Chhattisgarh,111169,92315,28262,190328,33171,20832,76903,71957,624937
Goa,4964,5347,5272,5578,1817,1675,5784,2575,33012
Gujarat,214150,190675,60332,245879,66393,42037,197725,75111,1092302
Haryana,82702,115527,21787,116026,30070,16191,116821,47250,546374
Himachal Pradesh,26076,26700,8278,32550,8986,5166,29024,18536,155316
Jammu & Kashmir,66448,74096,18681,58137,16724,15669,66957,44441,361153
Jharkhand,180721,165861,46684,147892,37458,20157,112372,58835,769980
Karnataka,264170,235691,90741,271982,93974,20913,246721,100013,1324205
Kerala,115513,105366,41346,171630,65709,66915,96131,99233,761843
Madhya Pradesh,270751,267361,69324,404738,77803,39513,295035,127406,1551931
Maharashtra,574052,473271,473610,548418,160209,58753,510736,164343,2963392
Manipur,19194,12891,2661,5315,4846,1459,8628,3553,58547
Meghalaya,6980,12353,2707,5312,2332,2340,8717,3576,44317
Mizoram,2035,3354,1163,1976,1585,1050,1914,2083,15160
Nagaland,4150,8940,2294,3828,1250,995,4838,3336,29631
Odisha,263799,237858,68517,259899,72399,42837,172881,126212,1244402
Punjab,82199,146696,24549,130044,45070,21925,165607,37973,654063
Rajasthan,314618,218873,69484,427364,81389,41047,199696,211223,1563694
Sikkim,2772,5343,1577,2067,516,513,2459,2940,18187
Tamil Nadu,127405,220241,80077,287241,100847,32964,238392,92796,1179963
Tripura,10828,11695,4567,11707,4307,2909,11825,6508,64346
Uttar Pradesh,763988,1027835,266586,677713,181342,76603,946436,217011,4157514
Uttarakhand,29107,37681,12348,36996,11450,6443,30723,20524,185272
West Bengal,424473,315192,147336,322945,136523,71515,402921,196501,2017406
Andaman & Nicobar Island,1084,1219,531,1593,294,364,838,737,6660
Chandigarh,1774,2475,961,3815,1090,756,2583,1342,14796
Dadara & Nagar Havelli,429,715,201,682,180,115,483,489,3294
Daman & Diu,382,309,149,620,176,89,264,207,2196
NCT of Delhi,30124,34499,15094,67383,16338,10046,37013,24385,234882
Lakshadweep,337,224,73,361,112,96,183,229,1615
Puducherry,3608,6152,1824,9054,2335,853,4137,2226,30189
