State/UT,Cataract Operations - TARGET,Cataract Operations - ACHIEVED,Free Spectacles to school children - TARGET,Free Spectacles to school children - ACHIEVED,Collection of donated eyes - TARGET,Collection of donated eyes - ACHIEVED,"Other Eye Diseases (Diabetic Retinopathy, Glaucoma, Squint, ROP etc.) - TARGET","Other Eye Diseases (Diabetic Retinopathy, Glaucoma, Squint, ROP etc.) - ACHIEVED"
Andhra Pradesh,327688,345502,70000,38821,5000,4143,2963,31915
Arunanchal Pradesh,9125,2356,1037,345,30,0,83,1461
Assam,205717,72572,23377,28325,400,313,1870,211
Bihar,421309,320837,50000,5141,300,71,6228,0
Chhattisgarh,168565,116925,25000,27574,300,378,1532,2625
Goa,9621,13255,1081,707,30,4,87,1908
Gujarat,399632,786272,75000,99210,6500,8057,3623,123029
Haryana,167330,140489,15000,1263,1500,1876,1521,754
Himachal Pradesh,27769,32285,5000,481,200,40,411,14898
Jammu & Kashmir,82331,27051,2000,9138,200,55,753,66318
Jharkhand,217577,90211,2000,7962,200,38,1978,739
Karnataka,404563,392269,40000,47871,3500,5914,3668,32802
Kerala,136120,155266,20000,10391,1700,2012,2003,23665
Madhya Pradesh,480244,538175,54448,102102,1000,2414,4356,3508
Maharashtra,456011,684386,84280,20314,7000,7560,6742,32428
Manipur,17964,3481,2041,296,100,0,163,2283
Meghalaya,12004,2881,2223,4778,30,0,178,1049
Mizoram,4419,1774,1000,803,100,80,65,909
Nagaland,13072,863,1485,1593,30,0,119,115
Odisha,276853,132887,31261,69470,700,1344,2517,8020
Punjab,183948,222324,20778,34385,700,1274,1662,30822
Rajasthan,453999,263345,51466,9946,1200,1417,4117,4623
Sikkim,2461,688,456,0,30,0,36,576
Tamil Nadu,293063,431583,54104,19657,7000,12349,4328,50654
Telangana,231105,247308,26465,18247,3400,9953,2117,3291
Tripura,14868,9112,2000,1896,30,4,220,1013
Uttar Pradesh,808305,948197,150000,138833,1000,2051,11363,0
Uttarakhand,40973,54273,8000,4662,500,239,607,1350
West Bengal,603995,303294,70000,82453,3000,4011,5481,72206
Andaman & Nicobar Island,2508,863,285,206,30,0,23,1834
Chandigarh,6961,13583,791,1374,500,1169,63,0
Dadara & Nagar Havelli,2263,1879,257,404,30,0,21,42
Daman & Diu,1603,305,182,139,30,2,15,41
NCT of Delhi,110571,67690,8000,7323,3500,3699,1005,32448
Lakshadweep,425,137,48,0,30,0,4,911
Puducherry,5040,17169,933,2301,200,1242,75,0
