State/UT,Total Districts,Districts surveyed,Endemic (TGR >5%) for goitre
Andhra Pradesh,13,7,7
Arunanchal Pradesh,25,12,12
Assam,33,22,9
Bihar,38,14,14
Chhattisgarh,27,24,19
Goa,2,2,2
Gujarat,33,25,24
Haryana,22,11,5
Himachal Pradesh,12,10,10
Jammu & Kashmir,22,22,22
Jharkhand,24,9,8
Karnataka,30,27,18
Kerala,14,14,11
Madhya Pradesh,51,14,7
Maharashtra,36,30,22
Manipur,16,8,8
Meghalaya,11,4,4
Mizoram,8,4,4
Nagaland,11,7,7
Odisha,30,20,18
Punjab,22,22,14
Rajasthan,33,6,4
Sikkim,4,4,4
Tripura,8,3,3
Tamil Nadu,32,29,25
Telangana,31,10,6
Uttar Pradesh,75,29,28
Uttarakhand,13,11,7
West Bengal,23,8,8
Andaman & Nicobar Island,3,2,2
Chandigarh,1,1,0
Daman & Diu,2,1,1
Dadara & Nagar Havelli,1,1,1
NCT of Delhi,11,9,9
Lakshadweep,1,1,1
Puducherry,4,4,4
