State/UT,Supply of Iodated salt 2017-18 (in Tonnes),No. of salt samples (Volumetric),Samples confirmed to standard (>15ppm) (Volumetric),No. of Urine samples tested (UIE),Samples confirmed to the standards (>100gm/L (UIE),Total no.of salt collected (STK),No. of samples adequately iodated (STK)
Andhra Pradesh,152021,,,,,,
Arunanchal Pradesh,0,666,664,,,16098,15981
Assam,290742,4248,3861,2305,1790,212333,212333
Bihar,852556,3358,2359,,,,
Chhattisgarh,266532,1946,1946,1080,601,,
Goa,6957,358,342,,,5355,4936
Gujarat,549279,,,145,67,,
Haryana,105694,,,,,,
Himachal Pradesh,3056,,,,,,
Jammu & Kashmir,37059,2708,2706,,,,
Jharkhand,95689,344,300,,,884166,694985
Karnataka,203315,8876,7271,4732,4682,2569162,2320776
Kerala,134005,5829,5596,1117,1045,,
Madhya Pradesh,282702,2754,2292,383,219,359253,355731
Maharashtra,459872,13728,13549,2413,1841,,
Manipur,0,600,600,,,35950,35950
Meghalaya,0,,,,,,
Mizoram,60,,,,,125920,125494
Nagaland,12662,1005,979,2640,2617,124565,123568
Odisha,186089,,,,,,
Punjab,141855,9829,9721,5037,4656,158507,157901
Rajasthan,209358,28,27,,,401929,338364
Sikkim,0,2400,2391,1200,1174,80459,80459
Tripura,18280,,,,,,
Tamil Nadu,313333,9386,6242,,,210353,151390
Telangana,187843,716,574,270,207,,
Uttar Pradesh,976535,1922,1539,,,1796831,1042484
Uttarakhand,16676,,,,,,
West Bengal,770521,63120,62717,1413,1294,4707574,4248944
Andaman & Nicobar Island,578,,,,,,
Chandigarh,14487,2417,2412,1690,1690,2912,2902
Dadara & Nagar Havelli,197,,,,,,
Daman & Diu,945,573,516,272,235,35450,35408
NCT of Delhi,178831,4691,4540,2761,2634,,
Lakshadweep,0,,,,,,
Puducherry,1395,,,,,5847,5847
