State/UT,Male Cases,Male Deaths,Female Cases,Female Deaths,Total Cases,Total Deaths
Andhra Pradesh,17135,70,8829,47,25964,117
Arunanchal Pradesh,8,1,5,0,13,1
Assam,1610,0,708,0,2318,0
Bihar,1697,17,1227,14,2924,31
Chhattisgarh,2325,21,1823,12,4148,33
Goa,674,0,351,1,1025,1
Gujarat,4034,33,3030,17,7064,50
Haryana,699,4,278,3,977,7
Himachal Pradesh,1076,15,1029,15,2105,30
Jammu,816,1,564,0,1380,1
Kashmir,9,0,2,0,11,0
Jharkhand,275,1,206,1,481,2
Karnataka,4795,13,2712,17,7507,30
Kerala,2657,5,1532,6,4189,11
Madhya Pradesh,1585,21,1061,18,2646,39
Maharashtra,11476,24,7231,8,18707,32
Manipur,32,0,18,1,50,1
Meghalaya,209,0,116,0,327,0
Mizoram,219,0,102,0,368,0
Nagaland,164,0,87,0,245,0
Odisha,4802,54,3201,44,8003,98
Punjab,1110,2,311,2,1421,4
Rajasthan,3458,20,2352,10,5810,30
Sikkim,70,1,47,0,117,1
Tamil Nadu,8306,25,5721,25,14027,50
Telangana,1854,5,1452,4,3306,9
Tripura,524,1,289,1,813,2
Uttarakhand,104,2,104,0,208,2
Uttar Pradesh,5068,36,2555,37,7623,73
West Bengal,21370,108,14859,95,36229,203
Andaman & Nicobar Island,153,5,55,0,208,5
Chandigarh,451,10,378,4,829,14
Dadara & Nagar Havelli,397,3,336,1,733,4
Daman & Diu,91,0,39,0,130,0
NCT of Delhi,95,1,73,0,168,1
Lakshadweep,0,0,0,0,0,0
Puducherry,1291,3,666,0,1957,3
