State/UT,Below 14 years,14 and above - below 18 years,18 and above - below 30 years,30 and above - below 45 years,45 and above - below 60 years,60 years & above,Total
Andhra Pradesh,45,155,870,470,239,140,1919
Arunanchal Pradesh,4,16,14,9,2,1,46
Assam,5,159,375,245,78,5,867
Bihar,5,38,112,60,9,2,226
Chhattisgarh,96,275,861,558,254,99,2143
Goa,5,5,24,28,13,7,82
Gujarat,27,295,1050,683,329,158,2542
Haryana,24,67,337,211,60,42,741
Himachal Pradesh,3,13,70,62,40,8,196
Jammu & Kashmir,1,17,69,71,10,2,170
Jharkhand,9,28,98,87,42,4,268
Karnataka,51,331,1293,1022,464,171,3332
Kerala,22,125,381,423,440,473,1864
Madhya Pradesh,89,496,1899,1022,332,161,3999
Maharashtra,23,428,1831,1231,520,281,4314
Manipur,0,3,7,5,1,0,16
Meghalaya,1,5,25,7,3,0,41
Mizoram,0,7,10,5,0,0,22
Nagaland,1,1,3,0,0,0,5
Odisha,24,173,635,525,269,86,1712
Punjab,1,13,109,87,20,3,233
Rajasthan,9,109,417,274,83,28,920
Sikkim,6,8,23,21,9,4,71
Tamil Nadu,63,474,2022,1291,746,445,5041
Telangana,18,180,905,872,525,329,2829
Tripura,3,33,101,78,39,17,271
Uttar Pradesh,35,168,910,390,82,28,1613
Uttarakhand,3,7,63,39,15,2,129
West Bengal,80,536,2000,1910,779,232,5537
Andaman & Nicobar Island,0,10,15,10,12,3,50
Chandigarh,0,13,13,16,5,0,47
Dadara & Nagar Havelli,0,5,15,5,3,4,32
Daman & Diu,2,1,7,3,0,0,13
NCT of Delhi,19,73,341,175,31,9,648
Lakshadweep,0,0,1,0,0,0,1
Puducherry,4,1,58,43,25,17,148
