State/UT,Below 14 years,14 and above - below 18 years,18 and above - below 30 years,30 and above - below 45 years,45 and above - below 60 years,60 years & above,Total
Andhra Pradesh,23,125,1337,1502,898,422,4307
Arunanchal Pradesh,6,10,17,35,12,9,89
Assam,1,193,902,921,310,37,2364
Bihar,1,48,127,82,27,5,290
Chhattisgarh,124,238,1700,1664,931,317,4974
Goa,0,6,61,91,36,26,220
Gujarat,18,178,1675,1690,830,313,4704
Haryana,53,104,918,1018,546,165,2804
Himachal Pradesh,2,13,106,122,81,23,347
Jammu & Kashmir,3,4,58,99,32,6,202
Jharkhand,5,42,152,186,143,39,567
Karnataka,34,283,1955,2831,1769,582,7454
Kerala,16,134,874,1774,1849,1181,5828
Madhya Pradesh,78,397,2233,2109,1096,381,6294
Maharashtra,38,302,3559,4648,2930,1177,12654
Manipur,1,1,6,10,2,1,21
Meghalaya,2,12,53,48,11,5,131
Mizoram,2,8,48,31,10,2,101
Nagaland,0,2,9,2,3,0,16
Odisha,24,141,677,846,501,186,2375
Punjab,1,31,255,316,168,45,816
Rajasthan,13,144,977,868,427,108,2537
Sikkim,10,10,62,42,32,14,170
Tamil Nadu,76,370,2656,3749,2742,1141,10734
Telangana,15,115,1920,2733,1798,728,7309
Tripura,2,20,113,179,114,47,475
Uttar Pradesh,23,138,908,844,295,81,2289
Uttarakhand,4,7,125,137,57,16,346
West Bengal,185,493,2691,3409,1875,412,9065
Andaman & Nicobar Island,2,3,30,29,25,19,108
Chandigarh,1,8,23,28,11,3,74
Dadara & Nagar Havelli,1,2,32,19,12,8,74
Daman & Diu,0,0,10,15,0,0,25
NCT of Delhi,23,79,515,398,141,41,1197
Lakshadweep,0,0,1,2,1,0,4
Puducherry,3,11,98,177,182,92,563
