State/UT,Below 14 years,14 and above - below 18 years,18 and above - below 30 years,30 and above - below 45 years,45 and above - below 60 years,60 years & above,Total
Andhra Pradesh,0,0,0,0,0,0,0
Arunanchal Pradesh,0,0,0,0,0,0,0
Assam,0,0,0,0,0,0,0
Bihar,0,0,0,0,0,0,0
Chhattisgarh,0,0,1,0,0,0,1
Goa,0,0,0,0,0,0,0
Gujarat,0,0,0,0,0,0,0
Haryana,0,0,0,0,0,0,0
Himachal Pradesh,0,0,0,0,0,0,0
Jammu & Kashmir,0,0,0,0,0,0,0
Jharkhand,0,0,0,0,0,0,0
Karnataka,0,0,0,0,0,0,0
Kerala,0,0,0,0,0,0,0
Madhya Pradesh,0,0,0,0,0,0,0
Maharashtra,0,0,1,1,0,0,2
Manipur,0,0,0,0,0,0,0
Meghalaya,0,0,0,0,0,0,0
Mizoram,0,0,0,0,0,0,0
Nagaland,0,0,0,0,0,0,0
Odisha,0,0,0,0,0,0,0
Punjab,0,0,0,0,0,0,0
Rajasthan,0,0,0,0,0,0,0
Sikkim,0,0,0,0,0,0,0
Tamil Nadu,0,0,1,0,0,1,2
Telangana,0,0,2,0,0,0,2
Tripura,0,0,0,0,0,0,0
Uttar Pradesh,0,0,0,0,0,0,0
Uttarakhand,0,0,0,0,0,0,0
West Bengal,0,0,0,0,0,0,0
Andaman & Nicobar Island,0,0,0,0,0,0,0
Chandigarh,0,0,0,0,0,0,0
Dadara & Nagar Havelli,0,0,0,0,0,0,0
Daman & Diu,0,0,0,0,0,0,0
NCT of Delhi,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0,0
