State/UT,Below 14 years,14 and above - below 18 years,18 and above - below 30 years,30 and above - below 45 years,45 and above - below 60 years,60 years & above,Total
Agra,0,2,25,12,2,0,41
Ahmedabad,6,50,117,59,26,16,274
Allahabad,0,6,21,5,2,0,34
Amritsar,0,1,5,4,0,0,10
Asansol,0,17,98,33,0,0,148
Aurangabad,0,2,15,3,5,0,25
Bengaluru,15,49,299,162,61,32,618
Bhopal,0,14,29,34,10,9,96
Chandigarh City,0,13,12,14,5,0,44
Chennai,8,50,264,183,75,40,620
Coimbatore,0,4,37,40,16,21,118
Delhi (City),15,54,281,151,28,9,538
Dhanbad,0,2,8,6,2,0,18
Durg-Bhilainagar,1,15,52,21,8,0,97
Faridabad,3,8,34,17,3,4,69
Ghaziabad,4,9,34,16,4,1,68
Gwalior,1,6,37,18,12,6,80
Hyderabad,0,17,77,55,29,12,190
Indore,5,32,94,38,9,2,180
Jabalpur,1,3,97,17,2,0,120
Jaipur,2,11,46,37,4,1,101
Jamshedpur,2,6,21,8,1,1,39
Jodhpur,0,0,7,6,1,0,14
Kannur,0,3,5,7,6,16,37
Kanpur,2,17,55,30,9,0,113
Kochi,0,2,14,13,11,8,48
Kolkata,1,16,23,46,19,4,109
Kollam,0,2,8,7,8,29,54
Kota,0,6,22,3,0,0,31
Kozhikode,1,3,16,16,16,16,68
Lucknow,1,14,48,17,5,0,85
Ludhiana,0,1,17,11,4,1,34
Madurai,0,1,36,43,14,10,104
Malappuram,0,5,8,5,2,2,22
Meerut,0,0,0,0,0,0,0
Mumbai,9,47,171,112,33,21,393
Nagpur,1,16,47,36,16,6,122
Nasik,3,7,39,20,5,3,77
Patna,0,7,16,4,3,0,30
Pune,2,27,113,59,20,15,236
Raipur,3,9,37,14,2,2,67
Rajkot,1,3,67,44,39,5,159
Ranchi,0,0,0,0,0,0,0
Srinagar,0,1,2,2,0,0,5
Surat,3,19,102,54,18,4,200
Thiruvananthapuram,0,5,18,12,23,13,71
Thrissur,2,2,13,8,8,21,54
Tiruchirapalli,0,7,30,10,10,4,61
Vadodara,2,10,23,13,10,11,69
Varanasi,1,2,29,3,2,3,40
Vasai Virar,0,5,26,16,5,5,57
Vijayawada,2,8,32,21,11,10,84
Vishakhapatnam,0,6,24,15,4,1,50
