State/UT,Below 14 years,14 and above - below 18 years,18 and above - below 30 years,30 and above - below 45 years,45 and above - below 60 years,60 years & above,Total
"Agra
",0,0,0,0,0,0,0
Ahmedabad,0,0,0,0,0,0,0
Allahabad,0,0,0,0,0,0,0
Amritsar,0,0,0,0,0,0,0
Asansol,0,0,0,0,0,0,0
Aurangabad,0,0,0,0,0,0,0
Bengaluru,0,0,0,0,0,0,0
Bhopal,0,0,0,0,0,0,0
Chandigarh City,0,0,0,0,0,0,0
Chennai,0,0,1,0,0,0,1
Coimbatore,0,0,0,0,0,0,0
Delhi (City),0,0,0,0,0,0,0
Dhanbad,0,0,0,0,0,0,0
Durg-Bhilainagar,0,0,0,0,0,0,0
Faridabad,0,0,0,0,0,0,0
Ghaziabad,0,0,0,0,0,0,0
Gwalior,0,0,0,0,0,0,0
Hyderabad,0,0,0,0,0,0,0
Indore,0,0,0,0,0,0,0
Jabalpur,0,0,0,0,0,0,0
Jaipur,0,0,0,0,0,0,0
Jamshedpur,0,0,0,0,0,0,0
Jodhpur,0,0,0,0,0,0,0
Kannur,0,0,0,0,0,0,0
Kanpur,0,0,0,0,0,0,0
Kochi,0,0,0,0,0,0,0
Kolkata,0,0,0,0,0,0,0
Kollam,0,0,0,0,0,0,0
Kota,0,0,0,0,0,0,0
Kozhikode,0,0,0,0,0,0,0
Lucknow,0,0,0,0,0,0,0
Ludhiana,0,0,0,0,0,0,0
Madurai,0,0,0,0,0,0,0
Malappuram,0,0,0,0,0,0,0
Meerut,0,0,0,0,0,0,0
Mumbai,0,0,0,1,0,0,1
Nagpur,0,0,0,0,0,0,0
Nasik,0,0,0,0,0,0,0
Patna,0,0,0,0,0,0,0
Pune,0,0,0,0,0,0,0
Raipur,0,0,1,0,0,0,1
Rajkot,0,0,0,0,0,0,0
Ranchi,0,0,0,0,0,0,0
Srinagar,0,0,0,0,0,0,0
Surat,0,0,0,0,0,0,0
Thiruvananthapuram,0,0,0,0,0,0,0
Thrissur,0,0,0,0,0,0,0
Tiruchirapalli,0,0,0,0,0,0,0
Vadodara,0,0,0,0,0,0,0
Varanasi,0,0,0,0,0,0,0
Vasai Virar,0,0,0,0,0,0,0
Vijayawada,0,0,0,0,0,0,0
Vishakhapatnam,0,0,0,0,0,0,0
