2016,2015,2014,2013,2012,2011,2010,2009,2008,State/UT
1,0,0,7,1,0,1,1,2,Andhra Pradesh
0,0,0,0,0,0,0,0,0,Arunanchal Pradesh
1,0,0,0,0,0,0,0,0,Assam
0,0,0,1,1,3,0,0,0,Bihar
18,11,5,15,5,8,9,12,9,Chhattisgarh
0,0,0,0,0,0,0,0,0,Goa
0,1,0,2,7,0,10,5,1,Gujarat
4,14,6,21,28,0,2,2,5,Haryana
0,1,4,2,0,0,0,0,2,Himachal Pradesh
2,0,0,0,0,0,1,0,0,Jammu & Kashmir
0,1,1,4,0,1,0,0,0,Jharkhand
2,1,0,0,3,8,4,8,5,Karnataka
0,0,0,1,1,1,0,2,0,Kerala
19,17,30,79,64,13,18,23,8,Madhya Pradesh
7,11,7,17,22,3,5,6,2,Maharashtra
0,0,0,0,0,0,0,0,0,Manipur
0,0,0,0,0,0,0,0,0,Meghalaya
0,0,0,0,0,0,0,0,0,Mizoram
0,0,0,0,0,0,0,0,0,Nagaland
4,10,24,12,25,1,15,7,24,Punjab
21,13,0,34,37,3,18,1,10,Rajasthan
0,0,0,0,2,1,0,1,0,Sikkim
0,0,2,1,0,7,0,17,0,Tamil Nadu
0,2,,,,,,,,Telangana
0,0,0,0,0,0,0,0,0,Tripura
52,12,11,17,11,13,18,17,2,Uttar Pradesh
4,0,1,0,0,0,0,0,0,Uttarakhand
0,0,0,3,0,0,0,0,1,West Bengal
135,94,101,217,207,62,101,102,71,Uttar Pradesh
0,0,0,1,1,0,3,0,0,Andaman & Nicobar Island
1,0,1,0,0,0,0,0,0,Chandigarh
0,0,0,0,0,0,0,0,0,Dadara & Nagar Havelli
0,0,0,0,0,0,0,0,0,Daman & Diu
8,3,5,3,2,1,7,0,2,NCT of Delhi
0,0,0,0,0,0,0,0,0,Lakshadweep
0,0,0,0,0,0,0,0,0,Puducherry
