IMMUNISATION,Year,Need Assessed,Achievement,% Acheivement
T.T. ( Preg. Women),2014 - 15,29.72,23.45,78.9
T.T. ( Preg. Women),2015 -16,29.6,23.37,78.95
T.T. ( Preg. Women),2016 - 17,30.03,23.22,77.32
T.T. ( Preg. Women),2017-18,30.05,26.63,88.61
D.P.T. (3rd dose) / Pentavalent (3rd dose),2014 - 15,25.92,23.18,89.43
D.P.T. (3rd dose) / Pentavalent (3rd dose),2015 -16,25.87,23.23,89.8
D.P.T. (3rd dose) / Pentavalent (3rd dose),2016 - 17,26.25,23.16,88.23
D.P.T. (3rd dose) / Pentavalent (3rd dose),2017-18,26.31,23.23,88.3
DT(5 yrs)/ DPTS,2014 - 15,23.81,12.45,52.29
DT(5 yrs)/ DPTS,2015 -16,24.13,13.2,54.7
DT(5 yrs)/ DPTS,2016 - 17,24.49,16.59,67.76
DT(5 yrs)/ DPTS,2017-18,24.71,14.61,59.15
POLIO (3rd dose),2014 - 15,25.93,22.59,87.12
POLIO (3rd dose),2015 -16,25.87,22.76,87.98
POLIO (3rd dose),2016 - 17,26.25,22.75,86.67
POLIO (3rd dose),2017-18,26.31,23.02,87.5
B.C.G.,2014 - 15,25.93,23.96,92.4
B.C.G.,2015 -16,25.87,24.24,93.7
B.C.G.,2016 - 17,26.25,23.74,90.44
B.C.G.,2017-18,26.31,23.7,90.07
MEASLES,2014 - 15,25.93,22.63,87.27
MEASLES,2015 -16,25.87,23.06,89.14
MEASLES,2016 - 17,26.25,23.13,88.11
MEASLES,2017-18,26.31,23.23,88.29
