State/UTs,Mothers who had antenatal check-up in the	first	trimester (%),Mothers who had at least 4 antenatal care visits (%),Mothers whose last birth was protected against neonatal tetanus7 (%),Mothers who consumed iron folic acid for 100 days or more when they  were pregnant (%),Mothers who had full antenatal care8 (%),Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)
Andhra Pradesh,82.4,76.3,95.0,56.2,43.9,79.7
Assam,55.1,46.5,89.9,32.0,18.1,54.0
Bihar,34.6,14.4,89.6,9.7,3.3,42.3
Chhattisgarh,70.8,59.1,94.3,30.3,21.7,63.6
Gujarat,73.9,70.6,86.8,36.8,30.7,63.4
Haryana,63.2,45.1,92.3,32.5,19.5,67.3
Jharkhand,52.0,30.3,91.8,15.3,8.0,44.4
Karnataka,66.0,70.3,88.3,45.3,32.9,65.6
Kerala,95.1,90.2,96.5,67.1,61.2,88.7
Madhya Pradesh,53.1,35.7,89.8,23.6,11.4,55.0
Maharashtra,67.6,72.2,90.4,40.6,32.4,78.5
Odisha,64.1,62.0,94.5,36.5,23.1,73.3
Punjab,75.6,68.5,92.9,42.6,30.7,87.2
Rajasthan,63.0,38.5,89.7,17.3,9.7,63.7
Tamil Nadu,64.0,81.2,71.0,64.0,45.0,74.1
Telangana,83.1,75.0,89.1,52.8,42.2,81.8
Uttar Pradesh,45.9,26.4,86.6,12.9,5.9,54.0
West Bengal,54.9,76.5,95.4,28.1,21.8,61.1
Arunanchal Pradesh,37.0,26.8,64.1,8.3,3.6,28.9
NCT of Delhi,63.3,68.6,89.9,49.9,37.3,62.6
Goa,84.4,89.0,96.2,67.4,63.4,92.1
Himachal Pradesh,70.5,69.1,86.3,49.4,36.9,70.2
Jammu & Kashmir,76.8,81.4,87.5,30.2,26.8,74.9
Manipur,77.0,69.0,88.8,39.2,33.9,64.6
Meghalaya,53.3,50.0,79.3,36.2,23.5,47.5
Mizoram,65.7,61.7,82.7,53.8,38.5,64.7
Nagaland,24.9,15.0,63.9,4.4,2.4,22.3
Sikkim,76.2,74.7,97.2,52.8,39.0,74.2
Tripura,66.4,64.3,93.0,13.4,7.6,62.1
Uttarakhand,53.5,30.9,91.4,24.9,11.5,54.8
Andaman & Nicobar Island,68.4,92.1,91.8,58.4,53.6,75.0
Chandigarh,67.4,64.5,95.1,44.9,34.7,89.0
Dadara & Nagar Havelli,63.6,75.6,86.8,43.9,33.1,66.7
Daman & Diu,75.1,62.7,71.1,38.3,29.9,60.1
Lakshadweep,91.9,82.8,94.0,82.1,66.4,92.6
Puducherry,80.6,87.7,82.1,66.3,55.6,84.9
