State/UT,Ayurveda,Unani,Siddha,Naturopathy,Homeopathy,Total
Andhra Pradesh,15921,702,0,123,5247,21993
Arunanchal Pradesh,55,1,1,0,336,393
Assam,1018,0,0,0,1160,2178
Bihar,96841,7123,0,0,32506,136470
Chhattisgarh,3430,148,0,102,1927,5607
NCT of Delhi,4661,2570,0,0,4965,12196
Goa,668,0,0,0,714,1382
Gujarat,26716,327,0,0,22930,49973
Haryana,8319,216,0,0,5586,14121
Himachal Pradesh,10338,0,0,0,1282,11620
Jammu & Kashmir,3123,2596,0,0,410,6129
Jharkhand,219,54,0,0,538,811
Karnataka,35886,2074,5,911,9450,48326
Kerala,25142,118,2275,224,13847,41606
Madhya Pradesh,46981,1783,0,15,18284,67063
Maharashtra,79200,7000,0,0,66947,153147
Manipur,0,0,0,0,0,0
Meghalaya,0,0,0,0,368,368
Mizoram,0,0,0,0,0,0
Nagaland,0,0,0,0,143,143
Odisha,4874,26,0,0,9825,14725
Punjab,11374,211,0,0,4411,15996
Rajasthan,9762,983,0,8,8063,18816
Sikkim,0,0,0,0,0,0
Tamil Nadu,4357,1182,6844,788,5596,18767
Telangana,10937,4764,0,314,4911,20926
Tripura,0,0,0,0,447,447
Uttar Pradesh,37262,13884,0,0,34343,85489
Uttarakhand,3117,133,0,0,823,4073
West Bengal,3503,5215,0,0,38231,46949
Andaman & Nicobar Island,0,0,0,0,0,0
Chandigarh,0,0,0,0,165,165
Dadara & Nagar Havelli,0,0,0,0,0,0
Daman & Diu,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0
