State/UT,No. of Govt.Allopathic Doctors,No. of Govt.Dental Surgeons,Reference Period
Andhra Pradesh,5114,491,01.01.2017
Arunanchal Pradesh,549,51,31.12.2018
Assam,6082,544,31.12.2017
Bihar,2792,258,01.01.2015
Chhattisgarh,1626,10,01.01.2017
Goa,644,113,31.12.2018
Gujarat,5475,174,01.01.2017
Haryana,2618,566,01.01.2015
Himachal Pradesh,1517,276,01.01.2016
Jammu & Kashmir,4058,513,01.01.2017
Jharkhand,1793,32,01.01.2016
Karnataka,5046,374,31.12.2018
Kerala,5239,172,01.01.2017
Madhya Pradesh,4588,120,01.01.2018
Maharashtra,6981,80,31.12.2015
Manipur,1099,86,01.01.2017
Meghalaya,585,62,31.12.2017
Mizoram,437,44,31.12.2017
Nagaland,332,49,01.01.2016
Odisha,4300,332,31.12.2018
Punjab,3331,303,31.12.2018
Rajasthan,7227,345,31.12.2017
Sikkim,268,60,31.12.2017
Tamil Nadu,7233,584,01.01.2016
Telangana,4123,201,01.01.2017
Tripura,1256,107,31.12.2017
Uttar Pradesh,10754,188,01.01.2016
Uttarakhand,1344,59,01.01.2017
West Bengal,8829,647,01.01.2015
Andaman & Nicobar Island,72,6,01.01.2017
Chandigarh,1438,59,01.01.2019
Dadara & Nagar Havelli,98,52,31.12.2017
Daman & Diu,59,5,01.01.2017
NCT of Delhi,9121,312,01.01.2015
Lakshadweep,29,1,01.01.2015
Puducherry,700,61,01.01.2017
