State/UT,Medical Officer,Specialist,Super Specialist,Dental Surgeon*,Total No. of Nurses (RN & RM),Total No. of Pharmacist*
Andhra Pradesh,170,34,,1,N/R,NIL
Assam,65,10,,1,40,3
Bihar,42,10,,1,29,4
Chandigarh,42,17,,,N/R,N/R
Chhattisgarh,62,25,,0,N/R,NIL
NCT of Delhi,804,106,,5,833,369
Goa,49,10,,0,N/R,NIL
Gujarat,394,81,,2,154,10
Himachal Pradesh,69,11,,0,74,6
Haryana,305,82,,2,280,27
Jammu & Kashmir,42,9,,,31,7
Jharkhand,93,21,,2,67,8
Karnataka,396,311,,3,393,28
Kerala,421,103,,2,359,32
Madhya Pradesh,301,129,,0,117,12
Manipur,,,,,0,2
Meghalaya,3,0,,0,N/R,NIL
Maharashtra,504,99,,1,146,15
Nagaland,1,0,,0,N/R,NIL
Odisha,106,35,,1,34,3
Puducherry,38,7,,0,N/R,NIL
Punjab,231,56,,3,190,31
Rajasthan,231,57,,2,162,28
Sikkim,4,0,,,N/R,NIL
Telangana,317,98,18,0,150,21
Tamil Nadu,662,48,,3,221,19
Tripura,2,0,,0,N/R,NIL
Uttar Pradesh,293,38,,1,87,23
Uttarakhand,34,0,,0,0,NIL
West Bengal,574,225,,1,181,23
