State/UT,"Dermatology, Venereology 
& Leprosy",Anesthesia,Child Health,Clinical pathology,Forensic medicine,Health Education,Community Medicine,Health Administration,Obstretics & Gynecology,Ophthalmology,Orthopedics,Oto-Rhino-laryngology,"Physical Medicine & 
rehabilitation",Psychological medicine,Public Health,Radiotherapy,Radio-Diagnosis,Sports Medicine,TB & Chest Diseases
Andhra Pradesh,16,42,34,16,0,,,,51,16,12,14,,8,5,0,21,,9
Arunanchal Pradesh,,,,,,,,,,,,,,,,,,,
Assam,,9,7,10,2,,,,12,5,,6,,4,,,0,,
Bihar,,12,10,7,,,,,24,15,5,8,1,,,,5,,
Chhattisgarh,,1,6,1,,,,,1,2,6,1,,,,,3,,
Goa,2,4,4,,,,,,4,,,,,2,2,,4,,
Gujarat,10,37,23,20,,,7,0,42,26,9,23,,11,10,,31,,19
Haryana,2,8,3,,,,,,3,5,8,,,2,,,3,,2
Himachal Pradesh,,3,2,2,,,,,,,1,2,,,,,3,,
Jammu & Kashmir,2,27,6,6,,,,,15,1,6,,,,,,6,,
Jharkhand,6,2,10,12,,,,,2,12,3,1,,19,,2,3,,
Karnataka,31,96,77,76,10,,,,111,58,69,45,,21,7,5,45,,5
Kerala,2,33,33,15,,,,,37,14,28,14,6,9,3,3,8,,8
Madhya Pradesh,,26,32,7,0,,,,30,12,14,10,,,,,8,,2
Maharashtra,18,89,62,31,5,,2,0,84,35,31,20,,20,30,1,49,,6
Manipur,,4,,2,,,,,,,,,,,,,,,
Meghalaya,,,,,,,,,,,,,,,,,,,
Mizoram,,,,,,,,,,,,,,,,,,,
Nagaland,,,,,,,,,,,,,,,,,,,
Odisha,,3,0,0,,,,,,,0,,,,,,0,,
Punjab,,28,12,0,,,,,8,1,,1,,,,1,4,6,0
Rajasthan,,18,9,1,6,,,,9,,,,,,6,,6,,0
Sikkim,,,,,,,,,,,,,,,,,,,
Tamil Nadu,19,71,74,17,,,,,86,61,32,36,3,17,11,11,32,,11
Telangana,9,41,31,11,0,,,,55,18,12,12,,6,4,,18,,6
Tripura,,,,,,,,,,,,,,,,,,,
Uttarakhand,,3,2,3,,,,,2,,2,,,,,,3,,
Uttar Pradesh,4,25,45,9,1,,2,0,55,28,32,8,,2,2,2,15,,3
West Bengal,,18,21,4,,0,,,27,25,8,9,,10,10,4,0,,14
Andaman & Nicobar Island,,,,,,,,,,,,,,,,,,,
Chandigarh,,,,,,,,,,,,,,,,,,,
Dadara & Nagar Havelli,,,,,,,,,,,,,,,,,,,
Daman & Diu,,,,,,,,,,,,,,,,,,,
NCT of Delhi,3,24,18,,,20,,6,26,9,,7,0,,,0,9,,10
Lakshadweep,0,,,,,,,,,,,,,,,,,,
Puducherry,3,4,5,0,,,,,4,4,6,1,,1,0,,2,,1
