State/UT,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Andhra Pradesh,6457,6510,6510,6510,6510,13372,13372,13372,13372,19986,19986
Arunanchal Pradesh,,,,,,95,95,121,159,159,159
Assam,805,944,1213,1213,1036,1375,1375,1375,1804,2286,2261
Bihar,2807,2807,2807,2807,2807,3987,3987,3987,3987,8597,8596
Chhattisgarh,194,407,498,847,1199,1463,1463,1463,1463,236,236
Goa,661,687,699,699,747,847,847,847,922,139,1106
Gujarat,1745,2684,2684,2684,2684,4648,7237,7237,10515,12391,12390
Haryana,1358,1740,1740,1740,1740,5232,5232,5232,7645,11602,11602
Himachal Pradesh,662,772,772,772,772,1628,1784,1784,2585,2740,2738
Jammu & Kashmir,1090,1090,1090,1090,1090,1910,1910,1910,1910,1973,1875
Jharkhand,,,,,,,,99,351,470,470
Karnataka,23699,25612,27750,29579,29579,32951,32951,34768,37528,41602,41601
Kerala,5918,6655,6655,6655,6655,10905,11016,11016,11016,19579,19244
Madhya Pradesh,1776,2002,2507,3206,3206,4408,4408,4408,7182,7950,7949
Maharashtra,16636,18159,18159,18159,18159,13187,13174,13187,34939,35458,38542
Manipur,,,,,,,,,284,520,520
Odisha,432,537,537,289,289,896,896,896,896,1907,1875
Punjab,4691,6996,6996,6884,6884,11422,12375,12375,14409,15581,15544
Rajasthan,364,364,364,364,1878,2935,4243,4243,5502,6108,6094
Tamil Nadu,10324,11385,14475,14475,13692,13504,15478,15478,15478,20514,20498
Telangana,,,,,,,,,NR,90,90
Tripura,,,,,,,,,N/R,96,96
Uttar Pradesh,5572,5572,8152,9441,10936,8784,8784,8784,11172,19185,19184
Uttarakhand,NA,451,451,657,657,951,951,951,951,579,579
West Bengal,1825,2054,2809,3120,3120,3965,3965,3965,4719,5413,5092
Chandigarh,596,671,675,675,826,873,891,891,943,943,941
NCT of Delhi,5720,6280,6280,6280,6280,7642,7642,7642,7642,14390,14366
Puducherry,NA,224,224,224,151,179,360,360,360,713,649
