States/UTs & others,Ayurveda Hospitals,Ayurveda Dispensaries,"Unani Hospitals
",Unani Dispensaries,Siddha Hospitals,Siddha Dispensaries,Yoga Hospitals,Yoga Dispensaries,Naturopathy Hospitals,Naturopathy Dispensaries,Homeopathy Hospitals,omeopathy Dispensaries,Sowa-Rigpa Hospitals,Sowa-Rigpa Dispensaries,Total AYUSH Hospitals,Total AYUSH Dispensaries
Andhra Pradesh,3,467,2,112,0,0,0,0,0,20,3,266,0,0,8,865
Arunanchal Pradesh,10,17,0,1,0,0,0,0,0,0,2,95,0,0,12,113
Assam,1,380,0,1,0,0,0,0,0,0,3,75,0,0,4,456
Bihar,5,1082,1,449,0,0,0,0,0,0,2,644,0,0,8,2175
Chhattisgarh,11,956,1,26,0,0,1,0,0,0,3,112,0,0,16,1094
NCT of Delhi,2,40,1,20,0,0,0,0,0,0,2,103,0,0,5,163
Goa,1,99,0,0,0,0,0,0,0,0,1,83,0,0,2,182
Gujarat,42,560,0,0,0,0,0,16,6,14,16,216,0,0,64,806
Haryana,4,483,0,19,0,0,0,0,0,0,0,22,0,0,4,524
Himachal Pradesh,33,1150,0,3,0,0,0,0,1,0,0,14,0,4,34,1171
Jammu & Kashmir,1,240,1,177,0,0,0,0,0,0,0,0,0,25,2,442
Jharkhand,1,220,0,54,0,0,0,0,0,0,4,92,0,0,5,366
Karnataka,170,592,18,50,0,0,3,0,6,5,16,43,0,0,213,690
Kerala,126,806,0,1,1,6,0,0,1,1,34,659,0,0,162,1473
Madhya Pradesh,40,1496,4,64,0,0,0,0,0,0,26,213,0,0,70,1773
Maharashtra,70,466,6,25,0,0,0,0,0,0,50,0,0,0,126,491
Manipur,2,0,1,0,0,0,1,0,0,0,6,1,0,0,10,1
Meghalaya,3,7,0,0,0,0,0,0,0,0,7,6,0,0,10,13
Mizoram,1,2,0,0,0,0,0,0,0,0,1,22,0,0,2,24
Nagaland,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1
Odisha,8,624,0,9,0,0,0,35,0,30,6,638,0,0,14,1336
Punjab,5,489,0,35,0,0,0,1,0,0,4,111,0,0,9,636
Rajasthan,117,3577,11,120,0,0,1,0,2,3,6,252,0,0,137,3952
Sikkim,1,2,0,0,0,0,0,0,0,0,0,9,0,1,1,12
Tamil Nadu,2,97,1,64,289,784,1,121,0,0,1,106,0,0,294,1172
Telangana,9,418,4,183,0,1,0,0,1,28,6,196,0,0,20,826
Tripura,2,36,0,0,0,0,0,0,0,0,2,73,0,0,4,109
Uttar Pradesh,2104,2104,204,49,0,0,0,0,0,0,8,1575,0,0,2316,3728
Uttarakhand,402,142,2,3,0,0,0,0,0,0,1,60,0,3,405,208
West Bengal,6,502,1,7,0,0,0,0,0,0,11,1520,0,0,18,2029
Andaman & Nicobar Island,1,13,1,0,1,0,1,2,0,0,1,18,0,0,5,33
Chandigarh,1,10,0,1,0,0,0,0,0,0,1,10,0,0,2,21
Dadara & Nagar Havelli,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,20
Daman & Diu,1,6,0,0,0,0,0,0,0,0,1,6,0,0,2,12
Lakshadweep,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,15
Puducherry,0,27,0,0,0,24,0,4,0,0,0,17,0,0,0,72
CGHS and Central Government,19,288,8,38,7,33,6,55,2,10,7,269,0,1,49,694
