,State/ UT,Public including Govt. Blood Banks,Private including Charitable Trust Blood Banks,Total No.of  blood Banks
0,Andhra Pradesh,34,135,169
1,Arunachal Pradesh,9,1,10
2,Assam,39,32,71
3,Bihar,35,45,80
4,Chattisgarh,31,51,82
5,Goa,3,3,6
6,Gujarat,28,125,153
7,Haryana,26,79,105
8,Himachal Pradesh,19,3,22
9,Jammu & Kashmir,30,5,35
10,Jharkhand,28,23,51
11,Karnataka,42,174,216
12,Kerala,41,128,169
13,Madhya Pradesh,61,92,153
14,Maharashtra,76,257,333
15,Manipur,4,1,5
16,Meghalaya,5,2,7
17,Mizoram,9,2,11
18,Nagaland,5,Nil,5
19,Odisha,63,20,83
20,Punjab,51,65,116
21,Rajasthan,61,80,141
22,Sikkim,2,1,3
23,Tamil Nadu,99,194,293
24,Telangana,30,150,180
25,Tripura,11,2,13
26,Uttar Pradesh,105,222,327
27,Uttarakhand,23,16,39
28,West Bengal,96,45,141
29,Andaman & Nicobar islands,2,1,3
30,Chandigarh,3,1,4
31,Dadra & Nagar Haveli,Nil,1,1
32,Daman & Diu,2,0,2
33,NCT of Delhi,22,38,60
34,Lakshadweep,1,0,1
35,Puducherry,5,13,18
