Name Of City,Allopathy Dispensaries,Ayush Dispensaries,Poly Clinic,CGHS Lab,Dental Units
Agartala,1,,,,
Aizwal,1,,,,
Ahmedabad,8,2,1,1,1
Allahabad,7,2,1,1,0
Bangalore,10,4,1,3,1
Bhopal,2,0,0,0,0
Bhubaneswar,3,1,,1,0
Chandigarh,1,0,,,0
Chennai,14,4,2,4,1
Dehradun,3,,,,0
Gandhinagar,1,,,,
Gangtok,1,,,,
Guwahati,5,1,,,0
Hyderabad,13,6,2,2,1
Imphal,1,,,,
Indore,1,,,,
Jabalpur,5,0,,1,0
Jaipur,7,2,1,4,1
Jammu,2,0,,,0
Kanpur,9,3,,3,1
Kohima,1,,,,
Kolkata,18,4,1,5,1
Lucknow,9,3,1,3,1
Meerut,6,2,0,2,1
Mumbai,26,5,2,4,3
Nagpur,11,3,1,1,1
Panaji,1,,,,
Patna,5,2,1,1,1
Puducherry,1,,,,0
Pune,9,3,1,2,1
Raipur,1,,0,0,0
Ranchi,3,0,,1,
Shillong,2,0,0,,0
Shimla,1,,,,0
Thiruvanantapuram,3,2,0,,0
Visakhapatnam,1,,,,0
Delhi & NCR,95,36,4,34,6
Total,288,85,19,73,21
