Year,No. of Dental Colleges (BDS),No of Admission in BDS,No. of Dental Colleges (MDS),No of Admission in MDS
1994-95,77,1987,32,225
1995-96,94,2562,32,263
1996-97,100,2859,35,301
1997-98,100,3301,37,427
1998-99,110,6100,41,729
1999-00,121,7100,44,801
2000-01,135,8340,49,859
2001-02,149,9550,52,922
2002-03,164,10970,56,992
2003-04,181,12960,58,1106
2004-05,185,13400,61,1173
2005-06,205,15440,67,1298
2006-07,238,18120,87,1764
2007-08,267,20910,104,2069
2008-09,282,22650,122,2365
2009-10,290,23570,140,2643
2010-11,288,23330,148,2833
2011-12,291,23870,168,3418
2012-13,297,24640,196,4594
2013-14,301,25320,205,5029
2014-15,305,26240,224,5505
2015-16,308,26530,240,5866
2016-17,309,26790,242,6019
2017-18,313,27060,249,6233
2018-19,313,26960,253,6288
