,State/UT,Name of Medical College,City/Town,"Govt/ 
Private","Admission 
Capacity","No. of  
beds in  
Attached 
Hospital"
0,"Andaman & 
Nicobar Islands","Andaman & Nicobar Islands Insitute of Medical Sciences, 
Port Blair",Port Blair,Govt.,100,460
1,Andhra Pradesh,ACSR Government Medical College Nellore,Nellore,Govt.,150,750
2,Andhra Pradesh,"All India Institute of Medical Sciences, Mangalagiri, 
Vijaywada",Vijaywada,Govt.,50,
3,Andhra Pradesh,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",Eluru,Trust,150,1070
4,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Visakhapatnam,Govt.,200,2017
5,Andhra Pradesh,"Apollo Institute of Medical Sciences and Research, Chittoor",Chittoor,Society,150,
6,Andhra Pradesh,"Dr. P.S.I. Medical College , Chinoutpalli",Chinoutpalli,Trust,150,398
7,Andhra Pradesh,"Fathima Instt. of Medical Sciences,Kadapa",Kadapa,Trust,100,450
8,Andhra Pradesh,"Gayathri Vidya Parishad Institute of Health Care & Medical  
Technology, Visakhapatnam.",Visakhapatnam,Society,150,
9,Andhra Pradesh,"GITAM Institute of Medical Sciences and Research, 
Visakhapatam",Visakhapatanam,University,0,
10,Andhra Pradesh,"Government Medical College, Anantapuram",Anantapurram,Govt.,100,500
11,Andhra Pradesh,"Government Siddhartha Medical College, Vijaywada",Vijaywada,Govt.,150,412
12,Andhra Pradesh,"Great Eastern Medical School and Hospital,Srikakulam",Srikakulam,Trust,100,350
13,Andhra Pradesh,"GSL Medical College, Rajahmundry",Rajahmundry,Trust,150,1000
14,Andhra Pradesh,"Guntur Medical College, Guntur",Guntur,Govt.,200,1277
15,Andhra Pradesh,"Katuri Medical College, Guntur",Guntur,Trust,150,900
16,Andhra Pradesh,"Konaseema Institute of Medical Sciences & Research 
Foundation, Amalapuram",Amalapuram,Trust,150,879
17,Andhra Pradesh,"Kurnool Medical College, Kurnool",Kurnool,Govt.,200,1050
18,Andhra Pradesh,"Maharajah Institute of Medical Sciences, Vizianagaram",Vizianagaram,Trust,150,1050
19,Andhra Pradesh,"Narayana Medical College, Nellore",Nellore,Trust,250,1550
20,Andhra Pradesh,"Nimra Institute of Medical Sciences, Krishna Dist.",Krishna Dist.,Society,150,
21,Andhra Pradesh,"NRI Institute of Medical Sciences, Visakhapatnam",Visakhapatnam,Trust,150,360
22,Andhra Pradesh,"NRI Medical College, Guntur",Guntur,Trust,200,1000
23,Andhra Pradesh,"P E S Institute Of Medical Sciences and Research, Kuppam",Kuppam,Trust,150,750
24,Andhra Pradesh,"Rajiv Gandhi Institute of Medical Sciences, Kadapa",Kadapa,Govt.,150,750
25,Andhra Pradesh,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam",Srikakulam,Govt.,100,300
26,Andhra Pradesh,"Rajiv Gandhi Institute of Medical Sciences,Ongole, AP",Ongole,Govt.,100,300
27,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Kakinada,Govt.,200,1085
28,Andhra Pradesh,"S V Medical College, Tirupati",Tirupati,Govt.,200,862
29,Andhra Pradesh,"Santhiram Medical College, Nandyal",Nandyal,Trust,100,700
30,Andhra Pradesh,"SVIM-Sri Padmavathi Medical College for Women, Alipiri 
Road, Tirupati",Tirupati,Govt.,150,650
31,Andhra Pradesh,"Viswabharathi Medical College, Kurnool",Kurnool,Society,0,
32,"Arunachal 
Pradesh","Toma Riba Institute of health & Medical Sciences, 
Naharlagun",Naharlagun,Govt.,50,
33,Assam,"Assam Medical College, Dibrugarh",Dibrugarh,Govt.,170,1365
34,Assam,"Fakhruddin Ali Ahmed Medical College, Barpeta, Assam","Barpeta,",Govt-Society,100,500
35,Assam,"Gauhati Medical College, Guwahati",Guwahati,Govt.,156,1982
36,Assam,"Jorhat Medical College & Hospital , Jorhat",Jorhat,Govt.,100,400
37,Assam,"Silchar Medical College, Silchar",Silchar,Govt.,100,906
